subject,age,gender,AMP_effect_positive_negative,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
521153975,26,Female,0.23,-0.03,-0.24,0.17,7,1,1,"No, exclude my data (please specify why):","I didn't see any chinese characters after the pictures.  What I saw was a real life image, a painting and then a static image.",1,TRUE
550660133,34,female,0.03,0.6,0,0.62,7,2,2,"Yes, use my data",,2,TRUE
562016371,22,male,0.87,0.87,0.17,0.85,1,1,6,"Yes, use my data",,6,TRUE
566506627,22,Female,0.5,0.87,NA,0.98,7,6,1,"Yes, use my data",,7,TRUE
573131664,21,Female,0,0.47,0.33,0.62,3,4,3,"Yes, use my data",,3,TRUE
581537137,57,male,0.87,0.23,-0.19,0.45,7,5,5,"Yes, use my data",,5,TRUE
611882145,42,female,0.83,0.9,1,0.48,1,1,1,"Yes, use my data",,1,TRUE
636411726,53,Male,-0.07,0,0,0,1,1,1,"Yes, use my data",,1,TRUE
652419022,20,female,-0.03,0.63,0.33,0.63,2,2,2,"Yes, use my data",,2,TRUE
676267574,43,Male,0.33,0.6,-0.15,0.77,2,1,1,"Yes, use my data",,1,TRUE
676737587,23,female,0.8,0.73,0.36,0.65,7,6,6,"Yes, use my data",,6,TRUE
722119343,29,Male,0.07,0,-0.05,0.12,3,2,4,"No, exclude my data (please specify why):","Quite a few of the pictures where broken, and not displaying, not sure if it was from my end or apps end.",3,TRUE
727324652,23,Male,-0.2,0.9,NA,0.97,7,7,6,"Yes, use my data",,7,TRUE
731463709,43,female,0,0,0,0,7,1,1,"Yes, use my data",,1,TRUE
766228610,21,female,0.27,0.07,-0.04,0.1,7,3,1,"Yes, use my data",,4,TRUE
795560014,19,Male,0.4,0.07,-0.29,0.33,1,1,1,"No, exclude my data (please specify why):","I did not see any chinese characters during the second part of the study, if there was to be some link between the characters and my data that there would be none as I saw none of them.",1,TRUE
798411943,24,male,0.17,-0.03,-0.16,0.1,1,1,1,"Yes, use my data",,1,TRUE
811196135,24,Male,0.23,0.23,0.18,0.1,1,2,2,"Yes, use my data",,4,TRUE
866269419,33,Male,0.07,0.1,0.1,0,3,1,1,"Yes, use my data",,1,TRUE
886642803,31,Female,0.03,0.13,-0.02,0.18,7,3,1,"Yes, use my data",,3,TRUE
931799914,26,Female,0.07,0.07,0.01,0.03,1,3,1,"Yes, use my data",,2,TRUE
969889635,28,Female,0,0.23,-0.07,0.25,2,2,1,"Yes, use my data",,4,TRUE
988569441,29,male,0,0,0,0,1,1,1,"Yes, use my data",,2,TRUE
206664142,NA,NA,NA,NA,NA,NA,1,1,1,"No, exclude my data (please specify why):",uuhiuhiu,1,FALSE
859225438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
