subject,influence_rate,int_false_prime,int_true_prime,int_amp_effect,awareness,demand,influence_general,intentionality,politics,self_exclusion_1,self_exclusion_1other,unintentionality,trump_prime,obama_prime,std_amp_effect,age,gender
539618264,0,0.05555555555555555,0.75,0.6944444444444444,all,My responses were genuinely based on whether I was influenced or not,none,none,a little democratic,"Yes, use my data",,none,0.027777777777777776,0.8333333333333334,0.8055555555555556,25,Male
540464023,0,0.9166666666666666,0.8333333333333334,-0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,a few,0.5277777777777778,0.6666666666666666,0.13888888888888884,34,male
541321140,0.8472222222222222,0.1388888888888889,0.8055555555555556,0.6666666666666667,most,My responses were genuinely based on whether I was influenced or not,most,a few,somewhat democratic,"Yes, use my data",,most,0.6388888888888888,0.7222222222222222,0.08333333333333337,45,male
546139743,0.19444444444444445,0.4166666666666667,0.6666666666666666,0.24999999999999994,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,about half,0.4722222222222222,0.6111111111111112,0.13888888888888895,23,male
557894060,0.4305555555555556,0.4722222222222222,0.8611111111111112,0.38888888888888895,all,My responses were genuinely based on whether I was influenced or not,about half,about half,very democratic,"Yes, use my data",,about half,0.4166666666666667,0.5,0.08333333333333331,25,Female
562792162,0.2638888888888889,0.4722222222222222,0.5833333333333334,0.11111111111111116,all,My responses were genuinely based on whether I was influenced or not,about half,none,very democratic,"Yes, use my data",,about half,0.4722222222222222,0.6111111111111112,0.13888888888888895,36,Female
570775037,0.06944444444444445,0.5555555555555556,0.6944444444444444,0.13888888888888884,all,My responses were genuinely based on whether I was influenced or not,a few,none,a little democratic,"Yes, use my data",,a few,0.4444444444444444,0.4166666666666667,-0.027777777777777735,47,female
576869868,0.9583333333333334,0.16666666666666666,0.8888888888888888,0.7222222222222222,most,My responses were based on what I thought the researcher wanted me to say,most,most,somewhat democratic,"Yes, use my data",,a few,1,0,-1,31,Male
593163233,0.013888888888888888,0.5277777777777778,0.5555555555555556,0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,a few,0.4166666666666667,0.6388888888888888,0.22222222222222215,35,Male
603084869,0.19444444444444445,0.05555555555555555,0.8055555555555556,0.75,none,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.1111111111111111,0.9444444444444444,0.8333333333333333,46,female
609457621,0.875,0.25,0.6666666666666666,0.41666666666666663,most,My responses were genuinely based on whether I was influenced or not,about half,less than half,somewhat democratic,"Yes, use my data",,more than half,0.3055555555555556,0.7222222222222222,0.41666666666666663,21,Female 
612719567,0.9722222222222222,0.05555555555555555,0.7777777777777778,0.7222222222222222,all,My responses were genuinely based on whether I was influenced or not,all,most,very democratic,"Yes, use my data",,less than half,0.027777777777777776,1,0.9722222222222222,22,Male
615497073,0.25,0.3333333333333333,0.5,0.16666666666666669,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,somewhat democratic,"Yes, use my data",,more than half,0.4722222222222222,0.6388888888888888,0.16666666666666663,24,Female
618596428,0.125,0.4166666666666667,0.5555555555555556,0.1388888888888889,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,a few,0.3333333333333333,0.6944444444444444,0.3611111111111111,47,male
621421821,0.25,0.5277777777777778,0.9166666666666666,0.38888888888888884,about half,My responses were genuinely based on whether I was influenced or not,more than half,about half,a little democratic,"Yes, use my data",,about half,0.5,0.9444444444444444,0.4444444444444444,31,female
625842193,0.20833333333333334,0.3055555555555556,0.75,0.4444444444444444,about half,My responses were genuinely based on whether I was influenced or not,more than half,less than half,very democratic,"Yes, use my data",,more than half,0.3611111111111111,0.9444444444444444,0.5833333333333333,31,Female
639605524,0.3611111111111111,0.5555555555555556,0.6666666666666666,0.11111111111111105,all,My responses were genuinely based on whether I was influenced or not,less than half,none,somewhat democratic,"Yes, use my data",,less than half,0.4444444444444444,0.6388888888888888,0.19444444444444442,30,Male
646335740,0,0.6111111111111112,0.6944444444444444,0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,0.3611111111111111,0.4444444444444444,0.08333333333333331,35,male
648001718,0.8055555555555556,0.08333333333333333,0.9444444444444444,0.861111111111111,all,My responses were genuinely based on whether I was influenced or not,most,about half,very democratic,"Yes, use my data",,about half,0,0.9166666666666666,0.9166666666666666,30,Male
650286878,0.2916666666666667,0.4722222222222222,0.8055555555555556,0.33333333333333337,more than half,My responses were genuinely based on whether I was influenced or not,about half,a few,somewhat democratic,"Yes, use my data",,more than half,0.3888888888888889,0.6111111111111112,0.22222222222222227,55,female
658590855,0.3194444444444444,0.5277777777777778,0.8611111111111112,0.33333333333333337,all,I'm not sure or don't know why I responded the way I did,about half,a few,somewhat democratic,"Yes, use my data",,more than half,0.25,0.7222222222222222,0.4722222222222222,42,Male
659121413,0,0.6388888888888888,0.6944444444444444,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,less than half,none,somewhat democratic,"Yes, use my data",,less than half,0.5,0.7222222222222222,0.2222222222222222,47,female
670462809,0.4444444444444444,0.4444444444444444,0.6944444444444444,0.25,all,My responses were genuinely based on whether I was influenced or not,about half,about half,a little democratic,"Yes, use my data",,about half,0.19444444444444445,0.5555555555555556,0.36111111111111116,34,male
675918708,0.3472222222222222,0.25,0.5,0.25,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,a little democratic,"Yes, use my data",,a few,0.3888888888888889,0.2777777777777778,-0.1111111111111111,39,male
694856579,0.2777777777777778,0.4166666666666667,0.6666666666666666,0.24999999999999994,all,I'm not sure or don't know why I responded the way I did,less than half,none,very democratic,"Yes, use my data",,more than half,0.5555555555555556,0.5555555555555556,0,55,female
694987987,0.625,0.2222222222222222,0.5277777777777778,0.3055555555555556,about half,My responses were genuinely based on whether I was influenced or not,about half,about half,very democratic,"Yes, use my data",,about half,0.8333333333333334,0.08333333333333333,-0.75,26,male
700379780,0,1,1,0,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,1,1,0,28,Male
700535080,0.5138888888888888,0.5277777777777778,0.7777777777777778,0.25,all,I'm not sure or don't know why I responded the way I did,more than half,a few,very democratic,"Yes, use my data",,about half,0.5277777777777778,0.6388888888888888,0.11111111111111105,35,male
724129297,0,0.3333333333333333,0.2777777777777778,-0.055555555555555525,most,My responses were genuinely based on whether I was influenced or not,none,none,a little democratic,"Yes, use my data",,none,0.19444444444444445,0.25,0.05555555555555555,38,Male
741795876,0.4305555555555556,0.3055555555555556,0.7222222222222222,0.41666666666666663,all,My responses were genuinely based on whether I was influenced or not,more than half,a few,somewhat democratic,"Yes, use my data",,about half,0.1388888888888889,0.8888888888888888,0.75,32,Female
