subject,influence_rate,int_false_prime,int_true_prime,int_amp_effect,awareness,demand,influence_general,intentionality,politics,self_exclusion_1,self_exclusion_1other,unintentionality,trump_prime,obama_prime,std_amp_effect
110689726,0.5833333333333334,0.3611111111111111,0.8055555555555556,0.4444444444444445,all,My responses were genuinely based on whether I was influenced or not,more than half,a few,a little democratic,"Yes, use my data",,about half,0.6666666666666666,0.6111111111111112,-0.05555555555555547
128222221,0.4166666666666667,0,0.8055555555555556,0.8055555555555556,all,My responses were genuinely based on whether I was influenced or not,more than half,more than half,somewhat democratic,"Yes, use my data",,less than half,0,0.9166666666666666,0.9166666666666666
138814248,0,0.8055555555555556,0.8888888888888888,0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,0.75,0.7777777777777778,0.02777777777777779
138894434,0.3611111111111111,0.4444444444444444,0.6944444444444444,0.25,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,about half,0.5,0.5,0
143278609,0.8888888888888888,0.05555555555555555,0.8611111111111112,0.8055555555555556,all,My responses were genuinely based on whether I was influenced or not,most,most,very democratic,"Yes, use my data",,most,0,0.9722222222222222,0.9722222222222222
150651228,0,0.5277777777777778,0.5277777777777778,0,all,My responses were genuinely based on whether I was influenced or not,a few,none,a little democratic,"Yes, use my data",,a few,0.5277777777777778,0.5555555555555556,0.02777777777777779
164171230,0.18055555555555555,0.5833333333333334,0.75,0.16666666666666663,all,My responses were genuinely based on whether I was influenced or not,less than half,none,a little democratic,"Yes, use my data",,less than half,0.25,0.6944444444444444,0.4444444444444444
166921097,0.041666666666666664,0.2777777777777778,0.3333333333333333,0.055555555555555525,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0,0,0
171062326,0.041666666666666664,0.25,0.75,0.5,about half,My responses were genuinely based on whether I was influenced or not,most,more than half,somewhat democratic,"Yes, use my data",,less than half,0.6388888888888888,0.6666666666666666,0.02777777777777779
194566192,0.375,0.4722222222222222,0.5555555555555556,0.08333333333333337,all,My responses were genuinely based on whether I was influenced or not,about half,less than half,somewhat democratic,"Yes, use my data",,less than half,0.6388888888888888,0.5277777777777778,-0.11111111111111105
198000605,0,0.5833333333333334,0.5277777777777778,-0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,none,none,somewhat democratic,"Yes, use my data",,none,0.6111111111111112,0.6666666666666666,0.05555555555555547
198956190,0.5,0.3888888888888889,0.7222222222222222,0.3333333333333333,all,My responses were genuinely based on whether I was influenced or not,more than half,none,very democratic,"No, exclude my data (please specify why):","I'm not sure the test was working as intended. The pictures flashed very quickly and then disappeared, and this was unexpected to me. The fastness of it made me think the test was broken, so I felt hurried and unsure if I was doing it properly. If this fast presentation was actually intentional, then I do think you can fairly use my data. ",about half,0.5833333333333334,0.5555555555555556,-0.02777777777777779
199138224,0.027777777777777776,0.4722222222222222,0.5555555555555556,0.08333333333333337,all,My responses were genuinely based on whether I was influenced or not,a few,a few,somewhat democratic,"Yes, use my data",,a few,0.4722222222222222,0.5277777777777778,0.05555555555555558
204470556,0.9861111111111112,0.6388888888888888,0.7222222222222222,0.08333333333333337,all,My responses were based on what I thought the researcher wanted me to say,more than half,all,somewhat democratic,"Yes, use my data",,all,0.75,0.75,0
204572509,0,0.6388888888888888,0.6388888888888888,0,all,My responses were genuinely based on whether I was influenced or not,none,none,a little democratic,"Yes, use my data",,none,0.4722222222222222,0.6666666666666666,0.19444444444444442
207177671,0.7777777777777778,0.25,0.4166666666666667,0.16666666666666669,all,My responses were genuinely based on whether I was influenced or not,more than half,none,very democratic,"Yes, use my data",,about half,0.19444444444444445,0.6944444444444444,0.5
209267071,0.06944444444444445,0.4166666666666667,0.3611111111111111,-0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.5833333333333334,0.5,-0.08333333333333337
210361004,0,0.4722222222222222,0.5277777777777778,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,0.5555555555555556,0.6111111111111112,0.05555555555555558
213834946,0.1111111111111111,0.16666666666666666,0.3055555555555556,0.13888888888888892,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,a few,0.3611111111111111,0.25,-0.1111111111111111
218358035,0.3888888888888889,0.2222222222222222,0.6944444444444444,0.4722222222222222,all,My responses were genuinely based on whether I was influenced or not,most,none,somewhat democratic,"Yes, use my data",,about half,0.4722222222222222,0.5277777777777778,0.05555555555555558
229993324,0.9722222222222222,0.2777777777777778,0.9166666666666666,0.6388888888888888,all,My responses were genuinely based on whether I was influenced or not,all,none,very democratic,"Yes, use my data",,all,0.4444444444444444,0.6944444444444444,0.25
250482743,0.5833333333333334,0.2222222222222222,0.8055555555555556,0.5833333333333334,all,My responses were genuinely based on whether I was influenced or not,more than half,less than half,somewhat democratic,"Yes, use my data",,about half,0.19444444444444445,0.9722222222222222,0.7777777777777778
257035865,0.5972222222222222,1,0.16666666666666666,-0.8333333333333334,all,My responses were genuinely based on whether I was influenced or not,about half,about half,somewhat democratic,"Yes, use my data",,a few,1,0.027777777777777776,-0.9722222222222222
265910492,0.06944444444444445,0.5555555555555556,0.5555555555555556,0,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,about half,0.4722222222222222,0.5833333333333334,0.11111111111111116
267237454,0.4305555555555556,0.5277777777777778,0.8055555555555556,0.2777777777777778,all,My responses were genuinely based on whether I was influenced or not,more than half,about half,somewhat democratic,"Yes, use my data",,about half,0.05555555555555555,0.9722222222222222,0.9166666666666666
268653392,0.9027777777777778,0.6111111111111112,0.8333333333333334,0.2222222222222222,about half,My responses were genuinely based on whether I was influenced or not,more than half,about half,very democratic,"Yes, use my data",,about half,0.75,0.8055555555555556,0.05555555555555558
272453798,0.125,0.5,0.5555555555555556,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,a few,0.3611111111111111,0.3888888888888889,0.02777777777777779
272741273,0.7083333333333334,0.6111111111111112,0.6944444444444444,0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,most,most,very democratic,"Yes, use my data",,all,0,0.8888888888888888,0.8888888888888888
273965715,1,0.08333333333333333,1,0.9166666666666666,all,My responses were genuinely based on whether I was influenced or not,all,more than half,somewhat democratic,"Yes, use my data",,most,0.027777777777777776,0.9722222222222222,0.9444444444444444
293682837,0.06944444444444445,0.8888888888888888,1,0.11111111111111116,all,My responses were genuinely based on whether I was influenced or not,a few,a few,a little democratic,"Yes, use my data",,a few,0.8055555555555556,0.8888888888888888,0.08333333333333326
304405156,0.8194444444444444,0.3333333333333333,0.7777777777777778,0.4444444444444445,most,My responses were genuinely based on whether I was influenced or not,more than half,none,very democratic,"Yes, use my data",,more than half,0.3055555555555556,0.9722222222222222,0.6666666666666666
317346405,0,0.75,0.5277777777777778,-0.2222222222222222,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,less than half,0.4722222222222222,0.5555555555555556,0.08333333333333337
318839397,0.8055555555555556,0.1111111111111111,0.8055555555555556,0.6944444444444444,most,My responses were genuinely based on whether I was influenced or not,most,most,very democratic,"Yes, use my data",,most,0,1,1
331134774,0.027777777777777776,0.4166666666666667,0.5555555555555556,0.1388888888888889,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.3888888888888889,0.5833333333333334,0.19444444444444448
343702216,0.4861111111111111,0.1388888888888889,0.75,0.6111111111111112,all,My responses were genuinely based on whether I was influenced or not,most,a few,very democratic,"Yes, use my data",,most,0.3888888888888889,0.6388888888888888,0.24999999999999994
346753407,0.3333333333333333,0.4166666666666667,0.75,0.3333333333333333,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,about half,0.3055555555555556,0.8055555555555556,0.5
347524095,0.2916666666666667,0.4444444444444444,0.75,0.3055555555555556,all,My responses were genuinely based on whether I was influenced or not,less than half,none,somewhat democratic,"Yes, use my data",,a few,0.2222222222222222,0.5555555555555556,0.33333333333333337
352648471,0.1111111111111111,0.3055555555555556,0.4166666666666667,0.1111111111111111,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.3055555555555556,0.3611111111111111,0.055555555555555525
354555257,0.05555555555555555,0.8055555555555556,0.8333333333333334,0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,a few,a few,very democratic,"Yes, use my data",,a few,0.5277777777777778,0.6944444444444444,0.16666666666666663
357697364,0.375,0.6944444444444444,0.6111111111111112,-0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,about half,a few,a little democratic,"Yes, use my data",,less than half,0,0.9722222222222222,0.9722222222222222
358155700,1,0,0.8055555555555556,0.8055555555555556,most,My responses were genuinely based on whether I was influenced or not,most,most,a little democratic,"Yes, use my data",,a few,0,0.9722222222222222,0.9722222222222222
359728694,0.041666666666666664,0.3055555555555556,0.16666666666666666,-0.13888888888888892,all,My responses were genuinely based on whether I was influenced or not,a few,a few,very democratic,"Yes, use my data",,a few,0.19444444444444445,0.3611111111111111,0.16666666666666666
360411069,1,0.08333333333333333,0.8888888888888888,0.8055555555555555,all,My responses were genuinely based on whether I was influenced or not,all,more than half,somewhat democratic,"Yes, use my data",,all,0.027777777777777776,0.9722222222222222,0.9444444444444444
370955787,0.3611111111111111,0.1111111111111111,0.8611111111111112,0.75,all,My responses were genuinely based on whether I was influenced or not,less than half,all,somewhat democratic,"Yes, use my data",,most,0.08333333333333333,0.9166666666666666,0.8333333333333333
371116988,0.06944444444444445,0.5833333333333334,0.8611111111111112,0.2777777777777778,all,My responses were genuinely based on whether I was influenced or not,a few,none,a little democratic,"Yes, use my data",,a few,0.6944444444444444,0.6388888888888888,-0.05555555555555558
376635527,0,0.5833333333333334,0.4166666666666667,-0.16666666666666669,all,My responses were genuinely based on whether I was influenced or not,none,none,a little democratic,"Yes, use my data",,none,0.5,0.3888888888888889,-0.1111111111111111
384312783,0,0.6111111111111112,0.5833333333333334,-0.02777777777777779,most,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,a few,0.6388888888888888,0.75,0.11111111111111116
388821475,0.4305555555555556,0.25,0.7222222222222222,0.4722222222222222,all,My responses were genuinely based on whether I was influenced or not,more than half,a few,somewhat democratic,"Yes, use my data",,about half,0.5555555555555556,0.6944444444444444,0.13888888888888884
398176801,0.1388888888888889,0.4166666666666667,0.6111111111111112,0.19444444444444448,all,My responses were genuinely based on whether I was influenced or not,less than half,none,somewhat democratic,"Yes, use my data",,less than half,0.5833333333333334,0.5833333333333334,0
404330801,1,0.1111111111111111,0.8888888888888888,0.7777777777777777,all,My responses were genuinely based on whether I was influenced or not,all,all,very democratic,"Yes, use my data",,all,0.3888888888888889,0.7222222222222222,0.3333333333333333
408892577,0.05555555555555555,0.5833333333333334,0.5555555555555556,-0.02777777777777779,all,I'm not sure or don't know why I responded the way I did,a few,a few,very democratic,"Yes, use my data",,a few,0.4722222222222222,0.5555555555555556,0.08333333333333337
414118202,0.2777777777777778,0.4722222222222222,0.6666666666666666,0.19444444444444442,all,My responses were genuinely based on whether I was influenced or not,about half,a few,very democratic,"Yes, use my data",,less than half,0.5833333333333334,0.5,-0.08333333333333337
416690637,0.4166666666666667,0.5555555555555556,0.8888888888888888,0.33333333333333326,all,My responses were genuinely based on whether I was influenced or not,more than half,a few,very democratic,"Yes, use my data",,most,0.5555555555555556,0.7777777777777778,0.2222222222222222
418702875,0,0.75,0.6944444444444444,-0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,a few,0.6666666666666666,0.7777777777777778,0.11111111111111116
426487590,0.125,0.6111111111111112,0.6388888888888888,0.02777777777777768,all,My responses were genuinely based on whether I was influenced or not,less than half,none,somewhat democratic,"Yes, use my data",,about half,0.4722222222222222,0.6111111111111112,0.13888888888888895
434236063,0.18055555555555555,0.7222222222222222,0.8333333333333334,0.11111111111111116,more than half,My responses were genuinely based on whether I was influenced or not,less than half,about half,very democratic,"Yes, use my data",,about half,0.6666666666666666,0.5555555555555556,-0.11111111111111105
448745278,0,0.7222222222222222,0.7777777777777778,0.05555555555555558,all,I'm not sure or don't know why I responded the way I did,none,none,very democratic,"Yes, use my data",,none,0.6666666666666666,0.6666666666666666,0
456453443,0.5833333333333334,0.3611111111111111,0.8333333333333334,0.47222222222222227,all,My responses were genuinely based on whether I was influenced or not,about half,a few,somewhat democratic,"Yes, use my data",,about half,0.5555555555555556,0.6111111111111112,0.05555555555555558
456751310,0,0.4166666666666667,0.5,0.08333333333333331,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,more than half,0.027777777777777776,0.9444444444444444,0.9166666666666666
457179380,0.041666666666666664,0.5277777777777778,0.9444444444444444,0.41666666666666663,most,My responses were genuinely based on whether I was influenced or not,about half,more than half,somewhat democratic,"Yes, use my data",,more than half,0.19444444444444445,0.9444444444444444,0.75
471407358,0.9305555555555556,1,0.6388888888888888,-0.36111111111111116,more than half,My responses were genuinely based on whether I was influenced or not,most,most,somewhat democratic,"Yes, use my data",,about half,0,0.8611111111111112,0.8611111111111112
486184649,0,0.5833333333333334,0.4722222222222222,-0.11111111111111116,all,I'm not sure or don't know why I responded the way I did,none,none,somewhat democratic,"Yes, use my data",,a few,0.6111111111111112,0.75,0.13888888888888884
514348240,0.09722222222222222,0.5555555555555556,0.4444444444444444,-0.11111111111111116,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.3333333333333333,0.3888888888888889,0.05555555555555558
526087134,0.5833333333333334,0.19444444444444445,0.9722222222222222,0.7777777777777778,all,My responses were genuinely based on whether I was influenced or not,more than half,more than half,very democratic,"Yes, use my data",,about half,0.3055555555555556,0.6388888888888888,0.33333333333333326
526660660,0.7083333333333334,0.3055555555555556,0.8055555555555556,0.5,all,My responses were genuinely based on whether I was influenced or not,more than half,a few,a little democratic,"Yes, use my data",,most,0.4166666666666667,0.6111111111111112,0.19444444444444448
537270509,0.5833333333333334,0.3055555555555556,0.9722222222222222,0.6666666666666666,all,My responses were genuinely based on whether I was influenced or not,most,most,very democratic,"Yes, use my data",,most,0.027777777777777776,0.9722222222222222,0.9444444444444444
539618264,0,0.05555555555555555,0.75,0.6944444444444444,all,My responses were genuinely based on whether I was influenced or not,none,none,a little democratic,"Yes, use my data",,none,0.027777777777777776,0.8333333333333334,0.8055555555555556
540464023,0,0.9166666666666666,0.8333333333333334,-0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,a few,0.5277777777777778,0.6666666666666666,0.13888888888888884
541321140,0.8472222222222222,0.1388888888888889,0.8055555555555556,0.6666666666666667,most,My responses were genuinely based on whether I was influenced or not,most,a few,somewhat democratic,"Yes, use my data",,most,0.6388888888888888,0.7222222222222222,0.08333333333333337
546139743,0.19444444444444445,0.4166666666666667,0.6666666666666666,0.24999999999999994,all,My responses were genuinely based on whether I was influenced or not,less than half,none,very democratic,"Yes, use my data",,about half,0.4722222222222222,0.6111111111111112,0.13888888888888895
557894060,0.4305555555555556,0.4722222222222222,0.8611111111111112,0.38888888888888895,all,My responses were genuinely based on whether I was influenced or not,about half,about half,very democratic,"Yes, use my data",,about half,0.4166666666666667,0.5,0.08333333333333331
562792162,0.2638888888888889,0.4722222222222222,0.5833333333333334,0.11111111111111116,all,My responses were genuinely based on whether I was influenced or not,about half,none,very democratic,"Yes, use my data",,about half,0.4722222222222222,0.6111111111111112,0.13888888888888895
570775037,0.06944444444444445,0.5555555555555556,0.6944444444444444,0.13888888888888884,all,My responses were genuinely based on whether I was influenced or not,a few,none,a little democratic,"Yes, use my data",,a few,0.4444444444444444,0.4166666666666667,-0.027777777777777735
576869868,0.9583333333333334,0.16666666666666666,0.8888888888888888,0.7222222222222222,most,My responses were based on what I thought the researcher wanted me to say,most,most,somewhat democratic,"Yes, use my data",,a few,1,0,-1
593163233,0.013888888888888888,0.5277777777777778,0.5555555555555556,0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,a few,0.4166666666666667,0.6388888888888888,0.22222222222222215
603084869,0.19444444444444445,0.05555555555555555,0.8055555555555556,0.75,none,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.1111111111111111,0.9444444444444444,0.8333333333333333
609457621,0.875,0.25,0.6666666666666666,0.41666666666666663,most,My responses were genuinely based on whether I was influenced or not,about half,less than half,somewhat democratic,"Yes, use my data",,more than half,0.3055555555555556,0.7222222222222222,0.41666666666666663
612719567,0.9722222222222222,0.05555555555555555,0.7777777777777778,0.7222222222222222,all,My responses were genuinely based on whether I was influenced or not,all,most,very democratic,"Yes, use my data",,less than half,0.027777777777777776,1,0.9722222222222222
615497073,0.25,0.3333333333333333,0.5,0.16666666666666669,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,somewhat democratic,"Yes, use my data",,more than half,0.4722222222222222,0.6388888888888888,0.16666666666666663
618596428,0.125,0.4166666666666667,0.5555555555555556,0.1388888888888889,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,a few,0.3333333333333333,0.6944444444444444,0.3611111111111111
621421821,0.25,0.5277777777777778,0.9166666666666666,0.38888888888888884,about half,My responses were genuinely based on whether I was influenced or not,more than half,about half,a little democratic,"Yes, use my data",,about half,0.5,0.9444444444444444,0.4444444444444444
625842193,0.20833333333333334,0.3055555555555556,0.75,0.4444444444444444,about half,My responses were genuinely based on whether I was influenced or not,more than half,less than half,very democratic,"Yes, use my data",,more than half,0.3611111111111111,0.9444444444444444,0.5833333333333333
639605524,0.3611111111111111,0.5555555555555556,0.6666666666666666,0.11111111111111105,all,My responses were genuinely based on whether I was influenced or not,less than half,none,somewhat democratic,"Yes, use my data",,less than half,0.4444444444444444,0.6388888888888888,0.19444444444444442
646335740,0,0.6111111111111112,0.6944444444444444,0.08333333333333326,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,0.3611111111111111,0.4444444444444444,0.08333333333333331
648001718,0.8055555555555556,0.08333333333333333,0.9444444444444444,0.861111111111111,all,My responses were genuinely based on whether I was influenced or not,most,about half,very democratic,"Yes, use my data",,about half,0,0.9166666666666666,0.9166666666666666
650286878,0.2916666666666667,0.4722222222222222,0.8055555555555556,0.33333333333333337,more than half,My responses were genuinely based on whether I was influenced or not,about half,a few,somewhat democratic,"Yes, use my data",,more than half,0.3888888888888889,0.6111111111111112,0.22222222222222227
658590855,0.3194444444444444,0.5277777777777778,0.8611111111111112,0.33333333333333337,all,I'm not sure or don't know why I responded the way I did,about half,a few,somewhat democratic,"Yes, use my data",,more than half,0.25,0.7222222222222222,0.4722222222222222
659121413,0,0.6388888888888888,0.6944444444444444,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,less than half,none,somewhat democratic,"Yes, use my data",,less than half,0.5,0.7222222222222222,0.2222222222222222
670462809,0.4444444444444444,0.4444444444444444,0.6944444444444444,0.25,all,My responses were genuinely based on whether I was influenced or not,about half,about half,a little democratic,"Yes, use my data",,about half,0.19444444444444445,0.5555555555555556,0.36111111111111116
675918708,0.3472222222222222,0.25,0.5,0.25,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,a little democratic,"Yes, use my data",,a few,0.3888888888888889,0.2777777777777778,-0.1111111111111111
694856579,0.2777777777777778,0.4166666666666667,0.6666666666666666,0.24999999999999994,all,I'm not sure or don't know why I responded the way I did,less than half,none,very democratic,"Yes, use my data",,more than half,0.5555555555555556,0.5555555555555556,0
694987987,0.625,0.2222222222222222,0.5277777777777778,0.3055555555555556,about half,My responses were genuinely based on whether I was influenced or not,about half,about half,very democratic,"Yes, use my data",,about half,0.8333333333333334,0.08333333333333333,-0.75
700379780,0,1,1,0,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,1,1,0
700535080,0.5138888888888888,0.5277777777777778,0.7777777777777778,0.25,all,I'm not sure or don't know why I responded the way I did,more than half,a few,very democratic,"Yes, use my data",,about half,0.5277777777777778,0.6388888888888888,0.11111111111111105
724129297,0,0.3333333333333333,0.2777777777777778,-0.055555555555555525,most,My responses were genuinely based on whether I was influenced or not,none,none,a little democratic,"Yes, use my data",,none,0.19444444444444445,0.25,0.05555555555555555
741795876,0.4305555555555556,0.3055555555555556,0.7222222222222222,0.41666666666666663,all,My responses were genuinely based on whether I was influenced or not,more than half,a few,somewhat democratic,"Yes, use my data",,about half,0.1388888888888889,0.8888888888888888,0.75
760814209,0.041666666666666664,0.9166666666666666,0.9444444444444444,0.02777777777777779,a few,My responses were genuinely based on whether I was influenced or not,a few,a few,somewhat democratic,"Yes, use my data",,a few,0.8611111111111112,0.9722222222222222,0.11111111111111105
775087065,0.2638888888888889,0.1111111111111111,0.9166666666666666,0.8055555555555556,most,I'm not sure or don't know why I responded the way I did,about half,more than half,very democratic,"Yes, use my data",,less than half,0,1,1
790617792,0.18055555555555555,0.16666666666666666,1,0.8333333333333334,all,My responses were genuinely based on whether I was influenced or not,most,most,somewhat democratic,"Yes, use my data",,a few,0.027777777777777776,0.9722222222222222,0.9444444444444444
793073645,0.3194444444444444,0.4444444444444444,0.6111111111111112,0.16666666666666674,all,I'm not sure or don't know why I responded the way I did,less than half,none,very democratic,"Yes, use my data",,a few,0.4722222222222222,0.6111111111111112,0.13888888888888895
803549838,0.9444444444444444,0,0.6388888888888888,0.6388888888888888,most,My responses were genuinely based on whether I was influenced or not,all,all,very democratic,"Yes, use my data",,all,0.08333333333333333,0.8888888888888888,0.8055555555555555
