subject,age,gender,AMP_effect_obama_trump,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,demand,influence_general,intentionality,politics,self_exclusion_1,self_exclusion_1other,unintentionality,party,complete_data
138894434,22,Male,0,-0.25,0.1,0.36,7,My responses were genuinely based on whether I was influenced or not,3,2,very democratic,"Yes, use my data",,4,democrat,TRUE
143278609,61,female,-0.97,-0.81,-0.25,0.89,7,My responses were genuinely based on whether I was influenced or not,6,6,very democratic,"Yes, use my data",,6,democrat,TRUE
150651228,37,male,-0.03,0,0,0,7,My responses were genuinely based on whether I was influenced or not,2,1,a little democratic,"Yes, use my data",,2,democrat,TRUE
159884672,40,Female,-0.97,-0.36,-0.21,0.31,7,My responses were genuinely based on whether I was influenced or not,5,4,very democratic,"Yes, use my data",,6,democrat,TRUE
164171230,26,Male,-0.44,-0.17,-0.09,0.18,7,My responses were genuinely based on whether I was influenced or not,3,1,a little democratic,"Yes, use my data",,3,democrat,TRUE
166921097,20,Male,0,-0.06,-0.02,0.04,7,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
171062326,24,Male,-0.03,-0.5,-0.51,0.04,4,My responses were genuinely based on whether I was influenced or not,6,5,somewhat democratic,"Yes, use my data",,3,democrat,TRUE
183370313,41,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
194566192,21,Male,0.11,-0.08,0.38,0.38,7,My responses were genuinely based on whether I was influenced or not,4,3,somewhat democratic,"Yes, use my data",,3,democrat,TRUE
197466882,25,female,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
198000605,47,male,-0.06,0.06,0.06,0,7,My responses were genuinely based on whether I was influenced or not,1,1,somewhat democratic,"Yes, use my data",,1,democrat,TRUE
198956190,37,female,0.03,-0.33,0.3,0.5,7,My responses were genuinely based on whether I was influenced or not,5,1,very democratic,"No, exclude my data (please specify why):","I'm not sure the test was working as intended. The pictures flashed very quickly and then disappeared, and this was unexpected to me. The fastness of it made me think the test was broken, so I felt hurried and unsure if I was doing it properly. If this fast presentation was actually intentional, then I do think you can fairly use my data. ",4,democrat,TRUE
199138224,26,Male,-0.06,-0.08,-0.06,0.03,7,My responses were genuinely based on whether I was influenced or not,2,2,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
204470556,43,male,0,-0.08,NA,0.99,7,My responses were based on what I thought the researcher wanted me to say,5,7,somewhat democratic,"Yes, use my data",,7,democrat,FALSE
204572509,62,Female,-0.19,0,0,0,7,My responses were genuinely based on whether I was influenced or not,1,1,a little democratic,"Yes, use my data",,1,democrat,TRUE
207177671,31,Female,-0.5,-0.17,0.67,0.78,7,My responses were genuinely based on whether I was influenced or not,5,1,very democratic,"Yes, use my data",,4,democrat,TRUE
209267071,18,Male,0.08,0.06,0.13,0.07,7,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
210361004,45,Male,-0.06,-0.06,-0.06,0,7,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"Yes, use my data",,1,democrat,TRUE
213834946,21,Male,0.11,-0.14,-0.06,0.11,7,My responses were genuinely based on whether I was influenced or not,3,1,very democratic,"Yes, use my data",,2,democrat,TRUE
218358035,26,Female,-0.06,-0.47,-0.23,0.39,7,My responses were genuinely based on whether I was influenced or not,6,1,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
221569161,27,Female,0.08,0.11,0.11,0,7,My responses were genuinely based on whether I was influenced or not,2,6,very democratic,"Yes, use my data",,2,democrat,TRUE
229993324,48,male,-0.25,-0.64,-1,0.97,7,My responses were genuinely based on whether I was influenced or not,7,1,very democratic,"Yes, use my data",,7,democrat,TRUE
250482743,37,female,-0.78,-0.58,-0.47,0.58,7,My responses were genuinely based on whether I was influenced or not,5,3,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
257035865,34,Female,0.97,0.83,NA,0.6,7,My responses were genuinely based on whether I was influenced or not,4,4,somewhat democratic,"Yes, use my data",,2,democrat,FALSE
265910492,41,Female,-0.11,0,0.06,0.07,7,My responses were genuinely based on whether I was influenced or not,3,2,very democratic,"Yes, use my data",,4,democrat,TRUE
267237454,57,female,-0.92,-0.28,0,0.43,7,My responses were genuinely based on whether I was influenced or not,5,4,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
268653392,25,M,-0.06,-0.22,-0.83,0.9,4,My responses were genuinely based on whether I was influenced or not,5,4,very democratic,"Yes, use my data",,4,democrat,TRUE
272453798,26,Female,-0.03,-0.06,0.05,0.12,7,My responses were genuinely based on whether I was influenced or not,3,2,very democratic,"Yes, use my data",,2,democrat,TRUE
272741273,28,female,-0.89,-0.08,-0.21,0.71,7,My responses were genuinely based on whether I was influenced or not,6,6,very democratic,"Yes, use my data",,7,democrat,TRUE
273965715,25,female,-0.94,-0.92,NA,1,7,My responses were genuinely based on whether I was influenced or not,7,5,somewhat democratic,"Yes, use my data",,6,democrat,FALSE
293682837,18,Female,-0.08,-0.11,0,0.07,7,My responses were genuinely based on whether I was influenced or not,2,2,a little democratic,"Yes, use my data",,2,democrat,TRUE
304405156,22,Female,-0.67,-0.44,0.21,0.82,6,My responses were genuinely based on whether I was influenced or not,5,1,very democratic,"Yes, use my data",,5,democrat,TRUE
309652062,22,female,0.06,-0.17,0.01,0.19,5,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
317346405,58,female,-0.08,0.22,0.22,0,7,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,3,democrat,TRUE
318839397,45,female,-1,-0.69,-0.43,0.81,6,My responses were genuinely based on whether I was influenced or not,6,6,very democratic,"Yes, use my data",,6,democrat,TRUE
331134774,30,male,-0.19,-0.14,-0.11,0.03,7,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
343702216,25,Female,-0.25,-0.61,-0.3,0.49,7,My responses were genuinely based on whether I was influenced or not,6,2,very democratic,"Yes, use my data",,6,democrat,TRUE
346753407,19,male,-0.5,-0.33,0.13,0.33,7,My responses were genuinely based on whether I was influenced or not,3,1,very democratic,"Yes, use my data",,4,democrat,TRUE
347524095,55,female,-0.33,-0.31,-0.04,0.29,7,My responses were genuinely based on whether I was influenced or not,3,1,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
352648471,28,female,-0.06,-0.11,-0.02,0.11,7,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
354555257,26,Female,-0.17,-0.03,0.07,0.06,7,My responses were genuinely based on whether I was influenced or not,2,2,very democratic,"Yes, use my data",,2,democrat,TRUE
357697364,28,female,-0.97,0.08,0.24,0.38,7,My responses were genuinely based on whether I was influenced or not,4,2,a little democratic,"Yes, use my data",,3,democrat,TRUE
358155700,24,Female,-0.97,-0.81,NA,1,6,My responses were genuinely based on whether I was influenced or not,6,6,a little democratic,"Yes, use my data",,2,democrat,FALSE
359728694,36,male,-0.17,0.14,0.17,0.04,7,My responses were genuinely based on whether I was influenced or not,2,2,very democratic,"Yes, use my data",,2,democrat,TRUE
360411069,23,Female,-0.94,-0.81,NA,1,7,My responses were genuinely based on whether I was influenced or not,7,5,somewhat democratic,"Yes, use my data",,7,democrat,FALSE
370860758,43,Female,0,-0.11,-0.06,0.08,3,My responses were genuinely based on whether I was influenced or not,2,2,neither/moderate,"Yes, use my data",,1,neither/moderate,TRUE
370955787,25,Male,-0.83,-0.75,-0.86,0.36,7,My responses were genuinely based on whether I was influenced or not,3,7,somewhat democratic,"Yes, use my data",,6,democrat,TRUE
371116988,29,Male,0.06,-0.28,-0.18,0.07,7,My responses were genuinely based on whether I was influenced or not,2,1,a little democratic,"Yes, use my data",,2,democrat,TRUE
376635527,24,male,0.11,0.17,0.17,0,7,My responses were genuinely based on whether I was influenced or not,1,1,a little democratic,"Yes, use my data",,1,democrat,TRUE
377181951,31,male,NA,-0.03,0.4,0.4,7,My responses were genuinely based on whether I was influenced or not,4,1,,"Yes, use my data",,3,neither/moderate,FALSE
378070987,41,female,-0.75,-0.61,-0.38,0.42,5,My responses were genuinely based on whether I was influenced or not,5,2,very democratic,"Yes, use my data",,3,democrat,TRUE
379626386,56,female,0.22,-0.75,NA,0.97,7,My responses were based on what I thought the researcher wanted me to say,3,3,somewhat republican,"Yes, use my data",,2,republican,FALSE
384312783,33,Male,-0.11,0.03,0.03,0,6,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"Yes, use my data",,2,democrat,TRUE
387510502,28,male,-0.08,-0.11,-0.01,0.74,5,My responses were genuinely based on whether I was influenced or not,5,5,neither/moderate,"Yes, use my data",,4,neither/moderate,TRUE
388821475,19,Female,-0.14,-0.47,-0.27,0.43,7,My responses were genuinely based on whether I was influenced or not,5,2,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
398176801,33,Male,0,-0.19,-0.13,0.14,7,My responses were genuinely based on whether I was influenced or not,3,1,somewhat democratic,"Yes, use my data",,3,democrat,TRUE
404330801,38,male,-0.33,-0.78,NA,1,7,My responses were genuinely based on whether I was influenced or not,7,7,very democratic,"Yes, use my data",,7,democrat,FALSE
408892577,27,Male,-0.08,0.03,0.09,0.06,7,I'm not sure or don't know why I responded the way I did,2,2,very democratic,"Yes, use my data",,2,democrat,TRUE
414118202,19,female,0.08,-0.19,0.11,0.28,7,My responses were genuinely based on whether I was influenced or not,4,2,very democratic,"Yes, use my data",,3,democrat,TRUE
416690637,29,woman,-0.22,-0.33,0.03,0.42,7,My responses were genuinely based on whether I was influenced or not,5,2,very democratic,"Yes, use my data",,6,democrat,TRUE
418702875,34,female,-0.11,0.06,0.06,0,7,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"Yes, use my data",,2,democrat,TRUE
426487590,37,female,-0.14,-0.03,0.14,0.12,7,My responses were genuinely based on whether I was influenced or not,3,1,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
434236063,33,Male,0.11,-0.11,-0.01,0.18,5,My responses were genuinely based on whether I was influenced or not,3,4,very democratic,"Yes, use my data",,4,democrat,TRUE
448745278,32,Male,0,-0.06,-0.06,0,7,I'm not sure or don't know why I responded the way I did,1,1,very democratic,"Yes, use my data",,1,democrat,TRUE
456453443,24,male,-0.06,-0.47,-0.33,0.58,7,My responses were genuinely based on whether I was influenced or not,4,2,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
456751310,26,Non-Binary,-0.92,-0.08,-0.08,0,7,My responses were genuinely based on whether I was influenced or not,3,1,very democratic,"Yes, use my data",,5,democrat,TRUE
457179380,20,male,-0.75,-0.42,-0.41,0.04,6,My responses were genuinely based on whether I was influenced or not,4,5,somewhat democratic,"Yes, use my data",,5,democrat,TRUE
460049010,38,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
471407358,32,FEMALE,-0.86,0.36,0,0.93,5,My responses were genuinely based on whether I was influenced or not,6,6,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
486184649,24,Male,-0.14,0.11,0.11,0,7,I'm not sure or don't know why I responded the way I did,1,1,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
489509194,25,Male,-0.89,-0.69,-0.22,0.79,7,My responses were genuinely based on whether I was influenced or not,6,6,somewhat democratic,"Yes, use my data",,6,democrat,TRUE
514348240,34,Female,-0.06,0.11,0.24,0.1,7,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
526087134,29,female,-0.33,-0.78,-0.49,0.58,7,My responses were genuinely based on whether I was influenced or not,5,5,very democratic,"Yes, use my data",,4,democrat,TRUE
526660660,39,F,-0.19,-0.5,0.22,0.71,7,My responses were genuinely based on whether I was influenced or not,5,2,a little democratic,"Yes, use my data",,6,democrat,TRUE
537270509,32,female,-0.94,-0.67,-0.24,0.58,7,My responses were genuinely based on whether I was influenced or not,6,6,very democratic,"Yes, use my data",,6,democrat,TRUE
539618264,25,Male,-0.81,-0.69,-0.69,0,7,My responses were genuinely based on whether I was influenced or not,1,1,a little democratic,"Yes, use my data",,1,democrat,TRUE
540464023,34,male,-0.14,0.08,0.08,0,7,My responses were genuinely based on whether I was influenced or not,2,1,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
541321140,45,male,-0.08,-0.67,-0.13,0.85,6,My responses were genuinely based on whether I was influenced or not,6,2,somewhat democratic,"Yes, use my data",,6,democrat,TRUE
542141740,34,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
546139743,23,male,-0.14,-0.25,-0.06,0.19,7,My responses were genuinely based on whether I was influenced or not,3,1,very democratic,"Yes, use my data",,4,democrat,TRUE
555186276,46,Male,-0.89,-0.89,-0.89,0.04,2,My responses were genuinely based on whether I was influenced or not,2,2,somewhat democratic,"Yes, use my data",,1,democrat,TRUE
557894060,25,Female,-0.08,-0.39,0.04,0.43,7,My responses were genuinely based on whether I was influenced or not,4,4,very democratic,"Yes, use my data",,4,democrat,TRUE
562792162,36,Female,-0.14,-0.11,0.24,0.26,7,My responses were genuinely based on whether I was influenced or not,4,1,very democratic,"Yes, use my data",,4,democrat,TRUE
570775037,47,female,0.03,-0.14,-0.05,0.07,7,My responses were genuinely based on whether I was influenced or not,2,1,a little democratic,"Yes, use my data",,2,democrat,TRUE
576869868,31,Male,1,-0.72,NA,0.96,6,My responses were based on what I thought the researcher wanted me to say,6,6,somewhat democratic,"Yes, use my data",,2,democrat,FALSE
593163233,35,Male,-0.22,-0.03,-0.01,0.01,7,My responses were genuinely based on whether I was influenced or not,2,1,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
600998133,28,Female,-0.03,-0.03,-0.03,0,7,My responses were genuinely based on whether I was influenced or not,1,1,somewhat democratic,"Yes, use my data",,1,democrat,TRUE
603084869,46,female,-0.83,-0.75,-0.79,0.19,1,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
606371456,45,Male,-0.28,-0.39,-0.35,0.65,7,My responses were genuinely based on whether I was influenced or not,6,5,neither/moderate,"Yes, use my data",,6,neither/moderate,TRUE
609457621,21,Female,-0.42,-0.42,0.15,0.88,6,My responses were genuinely based on whether I was influenced or not,4,3,somewhat democratic,"Yes, use my data",,5,democrat,TRUE
612719567,22,Male,-0.97,-0.72,1,0.97,7,My responses were genuinely based on whether I was influenced or not,7,6,very democratic,"Yes, use my data",,3,democrat,TRUE
615497073,24,Female,-0.17,-0.17,-0.25,0.25,7,My responses were genuinely based on whether I was influenced or not,3,2,somewhat democratic,"Yes, use my data",,5,democrat,TRUE
618596428,47,male,-0.36,-0.14,-0.02,0.12,7,My responses were genuinely based on whether I was influenced or not,2,1,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
618802996,23,female,-0.22,-0.42,-0.08,0.38,7,My responses were genuinely based on whether I was influenced or not,5,3,neither/moderate,"Yes, use my data",,5,neither/moderate,TRUE
621421821,31,female,-0.44,-0.39,-0.12,0.25,4,My responses were genuinely based on whether I was influenced or not,5,4,a little democratic,"Yes, use my data",,4,democrat,TRUE
625842193,31,Female,-0.58,-0.44,-0.3,0.21,4,My responses were genuinely based on whether I was influenced or not,5,3,very democratic,"Yes, use my data",,5,democrat,TRUE
639605524,30,Male,-0.19,-0.11,0.32,0.36,7,My responses were genuinely based on whether I was influenced or not,3,1,somewhat democratic,"Yes, use my data",,3,democrat,TRUE
646335740,35,male,-0.08,-0.08,-0.08,0,7,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"Yes, use my data",,1,democrat,TRUE
648001718,30,Male,-0.92,-0.86,-0.15,0.81,7,My responses were genuinely based on whether I was influenced or not,6,4,very democratic,"Yes, use my data",,4,democrat,TRUE
650286878,55,female,-0.22,-0.33,-0.01,0.29,5,My responses were genuinely based on whether I was influenced or not,4,2,somewhat democratic,"Yes, use my data",,5,democrat,TRUE
658590855,42,Male,-0.47,-0.33,0.02,0.32,7,I'm not sure or don't know why I responded the way I did,4,2,somewhat democratic,"Yes, use my data",,5,democrat,TRUE
659121413,47,female,-0.22,-0.06,-0.06,0,7,My responses were genuinely based on whether I was influenced or not,3,1,somewhat democratic,"Yes, use my data",,3,democrat,TRUE
662402232,61,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
670462809,34,male,-0.36,-0.25,0.35,0.44,7,My responses were genuinely based on whether I was influenced or not,4,4,a little democratic,"Yes, use my data",,4,democrat,TRUE
675918708,39,male,0.11,-0.25,0.2,0.35,7,My responses were genuinely based on whether I was influenced or not,3,2,a little democratic,"Yes, use my data",,2,democrat,TRUE
694856579,55,female,0,-0.25,-0,0.28,7,I'm not sure or don't know why I responded the way I did,3,1,very democratic,"Yes, use my data",,5,democrat,TRUE
694987987,26,male,0.75,-0.31,-0.28,0.62,4,My responses were genuinely based on whether I was influenced or not,4,4,very democratic,"Yes, use my data",,4,democrat,TRUE
700379780,28,Male,0,0,0,0,7,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"Yes, use my data",,1,democrat,TRUE
700535080,35,male,-0.11,-0.25,0.27,0.51,7,I'm not sure or don't know why I responded the way I did,5,2,very democratic,"Yes, use my data",,4,democrat,TRUE
702156408,36,male,1,-0.92,-0.6,0.88,6,My responses were genuinely based on whether I was influenced or not,6,6,a little republican,"Yes, use my data",,2,republican,TRUE
712188085,37,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
724129297,38,Male,-0.06,0.06,0.06,0,6,My responses were genuinely based on whether I was influenced or not,1,1,a little democratic,"Yes, use my data",,1,democrat,TRUE
741795876,32,Female,-0.75,-0.42,-0.1,0.43,7,My responses were genuinely based on whether I was influenced or not,5,2,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
743970945,q,q,NA,NA,NA,NA,7,My responses were genuinely based on whether I was influenced or not,6,7,somewhat democratic,"No, exclude my data (please specify why):",q,4,democrat,FALSE
760814209,22,Male,-0.11,-0.03,0.06,0.04,2,My responses were genuinely based on whether I was influenced or not,2,2,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
767963475,41,m,0.06,-0.78,NA,0.99,4,My responses were genuinely based on whether I was influenced or not,5,5,somewhat republican,"Yes, use my data",,5,republican,FALSE
770878703,29,Male,0.03,-0.14,-0.04,0.11,7,My responses were genuinely based on whether I was influenced or not,2,4,somewhat republican,"Yes, use my data",,6,republican,TRUE
775087065,28,Female,-1,-0.81,-0.72,0.26,6,I'm not sure or don't know why I responded the way I did,4,5,very democratic,"Yes, use my data",,3,democrat,TRUE
790617792,41,female,-0.94,-0.83,-0.79,0.18,7,My responses were genuinely based on whether I was influenced or not,6,6,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
793073645,21,Female,-0.14,-0.17,0.2,0.32,7,I'm not sure or don't know why I responded the way I did,3,1,very democratic,"Yes, use my data",,2,democrat,TRUE
803549838,23,Male,-0.81,-0.64,0,0.94,6,My responses were genuinely based on whether I was influenced or not,7,7,very democratic,"Yes, use my data",,7,democrat,TRUE
804083820,37,Female,-0.14,-0.14,0.03,0.12,7,My responses were genuinely based on whether I was influenced or not,3,2,very democratic,"Yes, use my data",,5,democrat,TRUE
806037224,23,male,-0.67,-0.56,-0.08,0.78,6,My responses were genuinely based on whether I was influenced or not,6,4,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
814418286,26,Male,-0.83,-0.67,-0.55,0.82,3,My responses were genuinely based on whether I was influenced or not,5,6,a little democratic,"Yes, use my data",,4,democrat,TRUE
831875577,34,Female,-0.44,0.17,0.19,0.04,7,My responses were genuinely based on whether I was influenced or not,3,2,somewhat democratic,"Yes, use my data",,4,democrat,TRUE
833954947,28,female,-0.28,0.03,0.49,0.32,7,My responses were genuinely based on whether I was influenced or not,5,4,very democratic,"Yes, use my data",,6,democrat,TRUE
834227260,19,male,-0.92,-0.28,-0.15,0.17,7,My responses were genuinely based on whether I was influenced or not,3,2,a little democratic,"Yes, use my data",,4,democrat,TRUE
838309898,23,female,-0.25,-0.14,0.05,0.15,7,My responses were genuinely based on whether I was influenced or not,3,1,a little democratic,"Yes, use my data",,3,democrat,TRUE
839905453,33,female,-0.03,-0.17,-0.02,0.21,7,My responses were genuinely based on whether I was influenced or not,3,2,very democratic,"No, exclude my data (please specify why):","I believe there was some kind of error, on all my questions I could only see the Chinese characters for like less than a second before the image switched to a blocky static image. I could only glimpse at the Chinese symbols for less than a second each. I still tried my best though. But I got a way better look at the before images than I did the Chiniese symbols. ",3,democrat,TRUE
842278169,31,Male,0.08,-0.22,0.28,0.39,7,My responses were genuinely based on whether I was influenced or not,4,4,very democratic,"Yes, use my data",,4,democrat,TRUE
845013425,55,male,0.14,-0.03,-0.01,0.03,7,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
845815607,27,Female,-0.17,-0.31,-0.2,0.21,7,My responses were genuinely based on whether I was influenced or not,3,5,neither/moderate,"Yes, use my data",,3,neither/moderate,TRUE
855587217,36,Male,0.08,-0.11,0.04,0.19,7,My responses were genuinely based on whether I was influenced or not,2,6,a little democratic,"Yes, use my data",,2,democrat,TRUE
855918927,31,Male,-0.22,-0.03,0.03,0.08,7,My responses were genuinely based on whether I was influenced or not,2,1,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
857925846,19,Female,0.61,0.53,NA,1,4,My responses were genuinely based on whether I was influenced or not,4,4,somewhat democratic,"Yes, use my data",,6,democrat,FALSE
861245923,51,female,-0.03,-0.22,-0.01,0.28,7,My responses were genuinely based on whether I was influenced or not,4,1,very democratic,"Yes, use my data",,6,democrat,TRUE
867743068,40,female,NA,-0.06,-0.06,0,7,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"Yes, use my data",,1,democrat,FALSE
879040610,27,female,-0.11,-0.22,-0.22,0.01,7,My responses were genuinely based on whether I was influenced or not,3,5,very democratic,"Yes, use my data",,3,democrat,TRUE
880653715,32,woman,0.17,-0.11,0.06,0.24,7,I'm not sure or don't know why I responded the way I did,3,2,a little democratic,"Yes, use my data",,4,democrat,TRUE
881459079,26,female,0.03,-0.25,-0.27,0.78,7,My responses were genuinely based on whether I was influenced or not,7,7,somewhat democratic,"Yes, use my data",,6,democrat,TRUE
901737082,20,Female,-0.03,-0.61,-0.25,0.72,7,My responses were genuinely based on whether I was influenced or not,6,6,somewhat democratic,"Yes, use my data",,2,democrat,TRUE
