subject,age,gender,IA_AMP_effect_obama_trump,IA_AMP_effect_obama_trump_influenced,IA_AMP_effect_obama_trump_uninfluenced,influence_rate_obama_trump,IA_AMP_effect_positive_negative,influence_rate_positive_negative,influence_rate_positive_negative_10,influence_rate_positive_negative_10,awareness,demand_pn,demand_to,influence_general_pn,influence_general_to,intentionality_pn,intentionality_to,politics,self_exclusion_1,self_exclusion_1other,unintentionality_pn,unintentionality_to,party,complete_data
84752084,23,female,0.39,0.13,0.6,0.44,0.64,0.85,0.8,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,5,6,4,somewhat republican,"Yes, use my data",,7,6,republican,TRUE
111322780,38,female,-0.33,NA,-0.32,0.03,0.03,0.07,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,a little republican,"Yes, use my data",,2,3,republican,TRUE
115209706,29,male,-0.08,NA,-0.08,0,0.17,0.01,0,low,7,My responses were genuinely based on whether I was influenced or not,I'm not sure or don't know why I responded the way I did,2,2,1,1,a little republican,"Yes, use my data",,1,3,republican,TRUE
124648870,40,Female,0.03,NA,0.03,0,0.28,0.01,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,somewhat republican,"Yes, use my data",,3,3,republican,TRUE
127422324,34,Female,-0.14,NA,-0.14,0,0.03,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat republican,"Yes, use my data",,1,1,republican,TRUE
167200951,38,male,1,1,NA,1,0.69,1,1,high,3,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little republican,"Yes, use my data",,7,7,republican,TRUE
174773181,22,female,0.5,0.57,-0.17,0.9,0.33,0.97,0.9,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,7,4,4,somewhat republican,"Yes, use my data",,6,6,republican,TRUE
189201940,36,female,-0.11,NA,-0.11,0,0.06,0.01,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,1,1,somewhat republican,"Yes, use my data",,2,1,republican,TRUE
200731487,18,male,-0.08,-0.4,-0.06,0.11,0.19,0.04,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,1,1,a little republican,"Yes, use my data",,2,2,republican,TRUE
211391325,46,female,0.94,1,0.71,0.85,0.83,0.86,0.8,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,6,6,6,very republican,"Yes, use my data",,6,6,republican,TRUE
216923730,30,male,-0.03,-0.05,0.2,0.92,0.03,0.9,0.9,high,5,My responses were based on what I thought the researcher wanted me to say,My responses were based on what I thought the researcher wanted me to say,3,5,4,5,somewhat republican,"Yes, use my data",,5,6,republican,TRUE
225367765,,Female,-0.03,0,-0.2,0.88,0.39,0.32,0.3,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,2,2,very republican,"Yes, use my data",,2,3,republican,TRUE
234778349,28,F,0.03,NA,0.06,0.03,0.14,0.07,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,2,1,a little republican,"Yes, use my data",,3,2,republican,TRUE
235719729,63,Male,-0.03,NA,-0.03,0,0.03,0,0,low,7,I'm not sure or don't know why I responded the way I did,I'm not sure or don't know why I responded the way I did,1,1,1,1,somewhat republican,"Yes, use my data",,1,1,republican,TRUE
250345166,36,female,0.06,NA,0.06,0,0.03,0.03,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,2,1,very republican,"Yes, use my data",,2,1,republican,TRUE
259416466,41,M,-0.69,-1,-0.62,0.18,0.28,0.26,0.2,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,3,1,1,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
261484005,47,female,-0.08,NA,0.06,0.14,0.33,0.44,0.4,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,3,6,6,somewhat republican,"Yes, use my data",,6,3,republican,TRUE
295215708,45,Female,0.11,-1,0.14,0.03,0.42,0.11,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,6,6,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
295994828,31,FEMALE,-0.25,NA,-0.25,0,0,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little republican,"Yes, use my data",,3,2,republican,TRUE
313716435,31,Male,0.89,0.71,1,0.42,0.42,0.57,0.5,high,2,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,4,5,3,very republican,"Yes, use my data",,2,2,republican,TRUE
318679059,28,MALE,0.11,NA,0.11,0,0.17,0,0,low,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little republican,"Yes, use my data",,1,1,republican,TRUE
323705666,32,male,0,0,-0.02,0.15,0.17,0.08,0,low,5,My responses were based on what I thought the researcher wanted me to say,My responses were based on what I thought the researcher wanted me to say,5,4,5,5,very republican,"Yes, use my data",,5,5,republican,TRUE
324693797,29,Male,-0.14,NA,-0.14,0,0.19,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,2,1,1,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
352988338,25,Male,-0.03,NA,-0.03,0,0.22,0.14,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,2,2,somewhat republican,"Yes, use my data",,2,1,republican,TRUE
364029556,59,male,0.03,NA,0.03,0,0.06,0,0,low,7,I'm not sure or don't know why I responded the way I did,I'm not sure or don't know why I responded the way I did,1,1,1,1,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
373420818,27,Female,-0.03,-1,0.03,0.07,0.03,0.08,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,2,a little republican,"Yes, use my data",,5,4,republican,TRUE
376203370,37,Male,-0.36,-0.91,-0.1,0.33,0.44,0.42,0.4,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,2,2,somewhat republican,"Yes, use my data",,4,4,republican,TRUE
391076134,31,female,-0.03,NA,-0.07,0.03,0.39,0.12,0.1,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,2,2,a little republican,"Yes, use my data",,5,5,republican,TRUE
413541867,28,male,0.14,NA,0.16,0.01,0.03,0.08,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,2,2,a little republican,"Yes, use my data",,3,3,republican,TRUE
429670563,29,Male,-0.14,-0.75,-0.09,0.08,0.14,0.15,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,2,1,a little republican,"Yes, use my data",,5,3,republican,TRUE
435991174,42,female,1,1,NA,1,0.94,0.99,0.9,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,1,1,somewhat republican,"Yes, use my data",,1,1,republican,TRUE
443153134,38,male,0.61,0.5,0.61,0.07,0.61,0.19,0.1,high,6,My responses were genuinely based on whether I was influenced or not,My responses were based on what I thought the researcher wanted me to say,3,4,3,4,somewhat republican,"Yes, use my data",,2,4,republican,TRUE
454642253,32,Female,0.17,0.83,0.08,0.11,0.19,0.21,0.2,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,2,1,somewhat republican,"Yes, use my data",,4,3,republican,TRUE
460762924,58,female,-0.22,NA,-0.22,0,0.19,0.01,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,2,1,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
466283845,42,Male,0.17,0.1,0.17,0.1,0.06,0.25,0.2,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,3,1,1,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
472998122,62,Female,0.11,NA,0.11,0,0.25,0,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,very republican,"Yes, use my data",,2,2,republican,TRUE
473763569,28,Male,0.03,-0.05,-0.03,0.44,0.19,0.08,0,low,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,2,3,very republican,"Yes, use my data",,2,2,republican,TRUE
475546711,43,Male,0.5,0.56,0.25,0.83,0.08,0.94,0.9,high,6,My responses were based on what I thought the researcher wanted me to say,My responses were based on what I thought the researcher wanted me to say,6,6,5,6,very republican,"Yes, use my data",,6,6,republican,TRUE
486159796,43,female,-0.03,-0.27,0.15,0.33,0.17,0.43,0.4,high,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,4,1,1,somewhat republican,"Yes, use my data",,3,4,republican,TRUE
493442358,40,Male,0.22,0,0.24,0.06,0.08,0.26,0.2,high,7,My responses were based on what I thought the researcher wanted me to say,My responses were based on what I thought the researcher wanted me to say,7,7,7,7,very republican,"Yes, use my data",,7,7,republican,TRUE
495671078,27,Male,-0.14,NA,-0.12,0.01,0.14,0.06,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,4,2,2,a little republican,"Yes, use my data",,3,3,republican,TRUE
503719655,27,female,0.17,NA,0.17,0,0.19,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat republican,"Yes, use my data",,1,1,republican,TRUE
511305539,20,Male,-0.06,NA,-0.04,0.01,0.08,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,2,1,2,somewhat republican,"Yes, use my data",,1,1,republican,TRUE
518621831,42,Male,-0.11,NA,-0.18,0.1,0.44,0.12,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,very republican,"Yes, use my data",,2,1,republican,TRUE
527935779,39,female,-0.47,-0.67,-0.38,0.21,0.67,0.64,0.6,high,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,4,5,4,somewhat republican,"Yes, use my data",,5,3,republican,TRUE
538071791,35,m,1,1,NA,1,0.11,0.08,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,6,2,6,somewhat republican,"Yes, use my data",,3,6,republican,TRUE
538995601,65,female,0.06,NA,0.06,0,0.08,0,0,low,7,I'm not sure or don't know why I responded the way I did,I'm not sure or don't know why I responded the way I did,1,2,1,1,very republican,"Yes, use my data",,1,2,republican,TRUE
552537347,29,female,0,NA,0,0,0.11,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little republican,"Yes, use my data",,1,1,republican,TRUE
562784706,34,Male,0,NA,0,0,0.06,0.01,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
568558267,49,Male,1,1,NA,1,0.78,0.93,0.9,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,7,6,7,somewhat republican,"Yes, use my data",,6,7,republican,TRUE
585363575,26,Male,-0.28,NA,-0.28,0,0.11,0,0,low,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very republican,"Yes, use my data",,1,1,republican,TRUE
588773360,24,male,0.03,0.25,0.01,0.14,0.17,0.22,0.2,high,4,My responses were genuinely based on whether I was influenced or not,My responses were based on what I thought the researcher wanted me to say,5,5,3,3,a little republican,"Yes, use my data",,4,4,republican,TRUE
590792396,29,female,-0.03,NA,-0.03,0,0.08,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,1,1,very republican,"Yes, use my data",,1,1,republican,TRUE
617419821,25,Male,0.06,0,0.1,0.07,0.64,0.53,0.5,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,2,2,1,somewhat republican,"Yes, use my data",,5,1,republican,TRUE
640812335,30,male,0.06,1,-0.01,0.06,0.22,0.01,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,2,2,somewhat republican,"Yes, use my data",,3,3,republican,TRUE
651809349,28,female,1,1,1,0.97,0.97,1,1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,4,4,very republican,"Yes, use my data",,6,6,republican,TRUE
662792716,31,male,0.03,NA,0.03,0,0.08,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,2,7,6,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
663898196,32,female,0.86,NA,0.86,0,0.56,0.1,0.1,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,3,2,a little republican,"Yes, use my data",,3,2,republican,TRUE
699585665,26,female,0.11,0.5,0.09,0.06,0.64,0.31,0.3,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,4,3,4,a little republican,"Yes, use my data",,4,5,republican,TRUE
735354817,30,Male,-0.11,0.3,-0.21,0.19,0.17,0.15,0.1,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,2,3,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
740800982,18,Male,-0.78,-1,0.31,0.83,0.19,0.17,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,6,1,4,a little republican,"Yes, use my data",,2,4,republican,TRUE
747476034,19,Male,0.06,0,0.06,0.06,0.31,0.35,0.3,high,7,My responses were genuinely based on whether I was influenced or not,I'm not sure or don't know why I responded the way I did,4,2,2,1,somewhat republican,"Yes, use my data",,2,1,republican,TRUE
769193797,21,female,-0.03,NA,-0.12,0.06,0.03,0.07,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,1,1,a little republican,"Yes, use my data",,3,3,republican,TRUE
773287545,34,Male,0,NA,0,0,0.03,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat republican,"Yes, use my data",,2,1,republican,TRUE
774586818,39,male,0.97,NA,1,0.01,0.69,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,6,6,very republican,"Yes, use my data",,1,1,republican,TRUE
781740051,39,male,0.08,NA,0.08,0,0.17,0,0,low,6,My responses were based on what I thought the researcher wanted me to say,My responses were based on what I thought the researcher wanted me to say,2,4,5,4,somewhat republican,"Yes, use my data",,4,4,republican,TRUE
787119381,40,female,-0.11,NA,-0.11,0,0.03,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little republican,"Yes, use my data",,1,1,republican,TRUE
787243510,24,Male,0.97,NA,0.97,0.01,0.42,0.01,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,6,5,very republican,"Yes, use my data",,2,2,republican,TRUE
796181107,54,f,0.11,0.33,0.04,0.25,0.14,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,5,1,4,very republican,"Yes, use my data",,1,2,republican,TRUE
805394460,40,female,0.03,0.05,NA,0.99,0.11,0.97,0.9,high,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,4,1,4,somewhat republican,"Yes, use my data",,1,3,republican,TRUE
806497583,65,male,0.94,NA,0.94,0,0.92,0,0,low,7,I'm not sure or don't know why I responded the way I did,I'm not sure or don't know why I responded the way I did,1,1,1,1,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
807472305,18,Male,-0.08,-0.5,-0.07,0.04,0.08,0.01,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,3,1,1,a little republican,"Yes, use my data",,3,2,republican,TRUE
810953844,32,male,-0.08,0,-0.19,0.12,0.03,0.1,0.1,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
825669265,41,Female,0.5,0.5,NA,1,0.31,1,1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,4,2,2,very republican,"Yes, use my data",,3,4,republican,TRUE
843794323,45,Female,0.47,0.75,0.32,0.21,0.11,0.35,0.3,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,5,3,4,very republican,"Yes, use my data",,3,4,republican,TRUE
844835202,25,male,-0.08,NA,-0.04,0.04,0.33,0.29,0.2,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,3,1,1,a little republican,"Yes, use my data",,2,2,republican,TRUE
844835660,33,male,0.06,1,0.01,0.04,0.03,0,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,2,1,1,a little republican,"Yes, use my data",,2,2,republican,TRUE
850346999,37,female,0.72,0.96,0.4,0.68,0.78,0.79,0.7,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,2,2,very republican,"Yes, use my data",,6,6,republican,TRUE
862395786,34,female,0.03,1,0,0.03,0.61,0.12,0.1,high,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,very republican,"Yes, use my data",,2,3,republican,TRUE
865896248,36,female,0.97,1,0.88,0.76,0.56,0.19,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,6,6,a little republican,"Yes, use my data",,7,7,republican,TRUE
873396017,35,Male,0.03,NA,0.03,0,0.03,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very republican,"Yes, use my data",,2,2,republican,TRUE
880487010,61,female,1,1,1,0.38,1,0.25,0.2,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,4,4,4,very republican,"Yes, use my data",,4,4,republican,TRUE
896525387,38,male,-0.14,NA,-0.13,0.01,0.08,0.06,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,2,2,a little republican,"Yes, use my data",,2,2,republican,TRUE
905721027,30,Male,0.08,0.17,-0.05,0.47,0.47,0.43,0.4,high,2,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,3,2,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
915512731,61,female,0,NA,0,0,0.75,0,0,low,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,3,1,1,very republican,"Yes, use my data",,3,3,republican,TRUE
921355337,37,male,0.11,NA,0.11,0,0.97,0.97,0.9,high,7,My responses were genuinely based on whether I was influenced or not,My responses were based on what I thought the researcher wanted me to say,6,1,6,1,very republican,"Yes, use my data",,6,2,republican,TRUE
964904693,39,male,0.08,NA,0.08,0,0.03,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very republican,"Yes, use my data",,2,2,republican,TRUE
975443134,23,Female,-0.03,-0.5,0.03,0.11,0.08,0.08,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,2,1,a little republican,"Yes, use my data",,2,2,republican,TRUE
981379283,38,Female,0.11,0,0.11,0.03,0.06,0.01,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,7,somewhat republican,"Yes, use my data",,1,1,republican,TRUE
990708992,35,female,-0.36,-0.35,-0.39,0.74,0.83,0.82,0.8,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,6,4,3,a little republican,"Yes, use my data",,2,2,republican,TRUE
993168739,60,Male,0.14,NA,-0.04,0.18,0,0.25,0.2,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,3,3,2,somewhat republican,"Yes, use my data",,2,2,republican,TRUE
999377362,23,Male,0,NA,0,0,0.03,0.17,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,2,1,a little republican,"Yes, use my data",,2,1,republican,TRUE
518965,21,Female,-0.08,-0.86,0.01,0.11,0,0.17,0.1,high,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,4,6,6,somewhat democratic,"Yes, use my data",,3,3,democrat,TRUE
1470182,55,female,0.14,NA,0.14,0,0.14,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little democratic,"Yes, use my data",,2,2,democrat,TRUE
2571515,37,female,-0.11,NA,-0.11,0,0.28,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat democratic,"Yes, use my data",,1,1,democrat,TRUE
11441115,26,Male,-0.67,-1,-0.48,0.38,0.75,0.93,0.9,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,5,7,5,very democratic,"Yes, use my data",,7,5,democrat,TRUE
27409009,44,female,-0.19,NA,-0.17,0.03,0.19,0,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,2,1,2,somewhat democratic,"Yes, use my data",,1,2,democrat,TRUE
27456834,31,FEMALE,-0.33,NA,-0.28,0.06,0.06,0.06,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,very democratic,"Yes, use my data",,2,2,democrat,TRUE
38065277,40,Male,-0.08,NA,-0.08,0,0,0.97,0.9,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,4,4,4,a little democratic,"Yes, use my data",,2,2,democrat,TRUE
55231197,33,Male,-0.22,NA,-0.19,0.07,0.58,0.57,0.5,high,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,2,2,6,very democratic,"Yes, use my data",,5,2,democrat,TRUE
58567075,51,male,-0.19,NA,-0.19,0,0.06,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very democratic,"Yes, use my data",,2,2,democrat,TRUE
61026600,20,Female,-0.08,NA,-0.08,0,0.31,0.14,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,1,1,somewhat democratic,"Yes, use my data",,3,1,democrat,TRUE
64516932,20,Male,0,0,0,0.04,0.39,0.99,0.9,high,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,4,4,4,very democratic,"Yes, use my data",,4,4,democrat,TRUE
66207128,56,female,-0.44,-1,0.06,0.47,0.69,0.67,0.6,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,5,2,2,very democratic,"Yes, use my data",,5,5,democrat,TRUE
87906137,32,Female,-0.28,NA,-0.27,0.01,0.06,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,2,2,2,very democratic,"Yes, use my data",,2,2,democrat,TRUE
104348820,36,male,-0.58,-0.64,-0.52,0.28,0.31,0.35,0.3,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,6,3,6,very democratic,"Yes, use my data",,6,6,democrat,TRUE
112920454,44,male,0,NA,0,0,0.06,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very democratic,"Yes, use my data",,1,1,democrat,TRUE
123168415,22,Female,-0.72,-0.76,-0.5,0.93,0.94,1,1,high,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,5,4,5,somewhat democratic,"Yes, use my data",,4,4,democrat,TRUE
123750149,37,female,-0.39,NA,-0.35,0.04,0.06,0.11,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,3,1,1,somewhat democratic,"Yes, use my data",,2,2,democrat,TRUE
