subject,age,gender,AMP_effect_positive_negative,skip_AMP_effect_positive_negative,influence_rate,complete_data
246249259,29,Female,0.39,0.47,0,TRUE
251487735,22,f,0.14,0.19,0.07,TRUE
258441397,41,Male,0,0.18,0.14,TRUE
258980727,40,male,0.53,0.22,0,TRUE
261224362,20,male,-0.08,-0.01,0.22,TRUE
262648276,20,female,-0.08,0.05,0.14,TRUE
268701990,25,F,-0.25,0.67,0,TRUE
270239949,27,Male,0.89,-0.06,0.17,TRUE
270533895,58,Female,0.14,0.11,0.01,TRUE
272113354,25 ,male,0.17,0.06,0,TRUE
273707608,34,Female,0,0.04,0.21,TRUE
275299664,33,female,0.22,-0.1,0.14,TRUE
275682766,33,Female,-0.19,-0.06,0.15,TRUE
278082124,30,male,0,0.08,0,TRUE
280680726,30,Female,0.17,-0.1,0.07,TRUE
289704678,33,Female,-0.06,-0.03,0.19,TRUE
290224567,29,girl,-0.28,0,0,TRUE
293570736,33,male,-0.03,-0.1,0.01,TRUE
298153744,20,Male,0,0,0.01,TRUE
299419793,33,Male,-0.06,0.06,0,TRUE
300522226,25,Female,0.03,-0.08,0.12,TRUE
301637623,59,male,-0.08,0.11,0,TRUE
306687691,24,Female,0.81,0.11,0,TRUE
308492353,20,Male,0.44,-0.14,0.83,TRUE
308621563,20,female,-0.53,-0.58,0,TRUE
309994302,18,Female,-0.22,0.2,0.11,TRUE
321158404,25,Female,0.47,NA,1,FALSE
325062157,27,Female,0,-0.03,0,TRUE
335027585,35,Female,0.08,-0.02,0.07,TRUE
344448882,42,Male,0.33,0.64,0,TRUE
346434907,31,Female,0,0.11,0,TRUE
347655114,19,female,0.44,0.12,0.11,TRUE
351499179,55,Female ,0.08,-0.13,0.08,TRUE
352119079,23,Male,0.03,0.34,0.26,TRUE
352417206,50,female,0.56,0.55,0.32,TRUE
356696678,25,Female,0.17,0.08,0,TRUE
358960100,20,male,-0.08,0,0,TRUE
359577617,35,male,-0.03,0.17,0,TRUE
367920190,40,female,0.08,0.1,0.1,TRUE
372204749,32,male,-0.08,0.2,0.1,TRUE
379948468,31,Male,0.25,-0.08,0,TRUE
381362083,24,Male,0.06,0.16,0.08,TRUE
381795074,28,Female,-0.17,0.11,0.04,TRUE
384200319,42,Female,0.03,0.03,0,TRUE
385330982,31,Female,0.81,0.78,0,TRUE
385991285,29,male,0,0,0,TRUE
390340013,22,female,0,-0.04,0.12,TRUE
392051584,20,male,0.17,-0.09,0.14,TRUE
393596638,19,Male,-0.69,-0.52,0.19,TRUE
397104176,43,female,0.03,0.18,0.18,TRUE
397175529,45,Male,-0.19,0.19,0,TRUE
399030014,18,Female,-0.03,0.1,0.14,TRUE
406403222,30,Male,0.56,0.77,0.03,TRUE
407236554,32,male,0.56,0.36,0,TRUE
407347665,19,female,0.17,-0.03,0.35,TRUE
409131615,23,male ,0,0,0,TRUE
409715414,21,Male,0.36,0.22,0,TRUE
411858326,34,Male,0.17,0.23,0.31,TRUE
413578934,20,Non-binary,0.22,0.06,0,TRUE
415249511,29 ,Female,0.69,0.53,0,TRUE
417007033,22,female,0.69,0.14,0,TRUE
420177481,24,Male,-0.03,-0.19,0.17,TRUE
423523583,28,male,-0.08,0.18,0.24,TRUE
425053238,21,Female,0.33,0.38,0.12,TRUE
428411988,38,Male,0.33,0.5,0,TRUE
430042348,35,Woman,0.14,0.06,0,TRUE
430167108,47,Male,0.44,-0.19,0,TRUE
432807029,55,female,0.86,0.8,0.19,TRUE
435583601,20,Female,0.69,0.06,0,TRUE
435662382,22,Male,-0.08,0.12,0.26,TRUE
439665093,33,Male,0.75,0.72,0,TRUE
440785152,36,Male,-0.08,-0.06,0.06,TRUE
442307994,27,Male,-0.08,-0.09,0.06,TRUE
448683207,29,Male,-0.19,0.03,0.06,TRUE
450875768,19,Male,0.17,0.04,0.11,TRUE
451009319,27,female,NA,NA,NA,FALSE
451421091,20,Female,-0.06,0.17,0,TRUE
463930846,43,male,0,0,0,TRUE
470733027,29,female,0.81,0.08,0,TRUE
474193334,28,Female,0.03,0.01,0.08,TRUE
484521741,25,Male,NA,NA,NA,FALSE
493482790,27,Male,-0.19,-0.13,0.07,TRUE
508066119,23,male,0.03,0.12,0.33,TRUE
510335477,20,Male,-0.03,-0.02,0.03,TRUE
511647504,22,Male,0.64,-0.04,0.01,TRUE
515190380,31,female,0.06,0.03,0,TRUE
520130106,23,Male,0.03,0.09,0.11,TRUE
521887244,21,female ,0.06,0.33,0.46,TRUE
525421287,40,Male,0.11,0,0,TRUE
526540412,26,male,0.36,0.2,0.18,TRUE
527887583,25,Female,0.22,0.03,0.01,TRUE
530891533,36,male,NA,NA,NA,FALSE
532339225,22,female ,NA,NA,NA,FALSE
536938680,57,Male,0.72,0,0,TRUE
539236537,31,Male,0.53,NA,NA,FALSE
540526360,25,Male,0.19,-0.06,0,TRUE
544170352,20,female,0.67,0,0.06,TRUE
548862447,30,Female,0,0,0.18,TRUE
550942196,31,Female,0.89,0.5,0.67,TRUE
552186078,37,male,-0.08,-0.03,0,TRUE
554703730,22,Female,0.17,0,0.11,TRUE
554805391,19,male,-0.03,-0.11,0,TRUE
556441669,59,male,0.17,0.25,0,TRUE
557072655,23,Male,0.25,0.41,0.29,TRUE
562213533,30,male,-0.11,-0.03,0.11,TRUE
568876497,32,Male,0.72,0.52,0.6,TRUE
569507214,25,Female,0,0.13,0.04,TRUE
569804660,24,Male,0.75,0.06,0,TRUE
574829249,21,female,0.22,0.19,0.22,TRUE
577205371,45,Male,NA,NA,NA,FALSE
578756206,46,Male,-0.17,0.03,0,TRUE
578959592,26,female,0.19,0.4,0.31,TRUE
579534480,22,Male,-0.14,0.43,0.18,TRUE
581575012,23,male,-0.03,0.12,0.01,TRUE
581812041,23,female,-0.11,-0.08,0,TRUE
582117110,44,male,0.94,0.83,0,TRUE
582846326,24,male,-0.03,0.12,0.12,TRUE
585703245,31,Female,-0.06,-0.06,0.1,TRUE
590234190,26,female,0.25,0.21,0.15,TRUE
596063054,28,Male,0.14,NA,NA,FALSE
596941280,36,Female,0.75,0.69,0,TRUE
600151457,19,Female,NA,NA,NA,FALSE
603650495,20,Male,0.11,-0.17,0,TRUE
617488255,18,Female,0.94,0.84,0.25,TRUE
623370736,24,male,0.58,0.64,0,TRUE
624000466,56,Male,0.33,0.64,0.54,TRUE
625807543,30,female,-0.03,-0.03,0,TRUE
629123938,55,Female,0.14,0.14,0,TRUE
631017668,18,MALE,0,-0.03,0,TRUE
642507638,20,Female,0.31,0.56,0,TRUE
644670624,44,Male,0.11,0.03,0,TRUE
644896067,34,Male,0.17,0.23,0.25,TRUE
646467030,22,Male,-0.11,0.11,0,TRUE
649527637,23,m,0.53,-0.07,0.07,TRUE
650062019,21,male,-0.06,0.03,0,TRUE
654180193,22,Female,0.25,0.01,0.01,TRUE
661225736,21,Male,0.22,0.05,0.82,TRUE
662418183,22,Male,0.72,0,0,TRUE
664777447,34,Female,0.14,0.19,0.06,TRUE
667992195,48,M,-0.17,0.03,0.26,TRUE
670907465,54,54,NA,NA,NA,FALSE
673207789,24,cis female,0.28,0.08,0.56,TRUE
674778814,25,Male,-0.03,-0.08,0,TRUE
678813687,25,Male,0.17,-0.11,0.71,TRUE
680565186,20,Male,0.06,-0.08,0.17,TRUE
681914111,21,female,-0.11,0.05,0.15,TRUE
682673219,32,male,0.19,0.28,0.11,TRUE
691711631,23,male,0.14,0.02,0.15,TRUE
693834045,40,Male,0.92,0.22,0,TRUE
693914553,31,Male,0.22,-0.06,0.17,TRUE
694642661,40,male,0,0.03,0,TRUE
702259833,19,Male,0.03,0.25,0.15,TRUE
703874084,35,Female,-0.67,-0.61,0.01,TRUE
710251621,23,Male,0.61,0.39,0.36,TRUE
713549915,37,female,0.25,-0.06,0,TRUE
715508182,30,male,-0.14,0.21,0.19,TRUE
723522308,18,Male,0.81,0.42,0.15,TRUE
728278613,30,female,0.06,-0.03,0.08,TRUE
739309332,25,female,0.83,0.24,0.54,TRUE
743586875,23,male,-0.03,-0.14,0,TRUE
744573872,30,agender (AFAB),-0.06,-0.07,0.01,TRUE
744861409,37,male,-0.14,-0.14,0,TRUE
748456760,41,Male,0.28,-0.17,0,TRUE
751357436,33,male,0.94,0.36,0,TRUE
752525902,25,female,0.11,-0.02,0.06,TRUE
761492292,38,Female,0.06,0,0,TRUE
778956781,31,Male,0.22,-0.03,0.38,TRUE
781170864,42,Female,0.17,0.08,0,TRUE
781584642,20 ,Male,-0.03,-0.19,0.07,TRUE
783553987,26,Male,0,0.1,0.19,TRUE
787556287,24,female,0.03,0.12,0.11,TRUE
792414014,43,MALE,0.22,0.01,0.01,TRUE
794409030,22,Male,0.53,-0.14,0,TRUE
795591426,21,male,-0.42,0.09,0.25,TRUE
796174258,24,Female,0.06,-0.15,0.1,TRUE
806024296,25,Female,-0.03,0.17,0.21,TRUE
807373390,50,Male,-0.03,-0.07,0.04,TRUE
813184844,20,male,-0.03,-0.09,0.12,TRUE
815625259,45,female,0.11,0.11,0.25,TRUE
816373454,33,FEMALE,0.03,0.06,0,TRUE
817192966,23,Female,0.17,0.18,0.22,TRUE
820190337,21,female,0,0.21,0.01,TRUE
820511102,51,Female,0.17,0.28,0.5,TRUE
821665506,25,Male,0.31,0.2,0.08,TRUE
825083732,39,Male,0.06,-0.12,0.11,TRUE
832209933,25,male,-0.08,0.14,0.1,TRUE
838229850,57,female,-0.08,-0.17,0,TRUE
838413750,23,Female,NA,NA,NA,FALSE
842196243,44,male,0.03,0,0,TRUE
847227283,24,MALE,0.67,0.81,0.44,TRUE
847732133,22,female,NA,NA,NA,FALSE
852549266,25,Male,0.25,0,0,TRUE
853329392,19,Female,0,0.03,0.19,TRUE
854552412,31 ,Female,0.03,-0.03,0,TRUE
860676207,24,F,0,-0.03,0,TRUE
862644181,56,female,0,0.03,0.22,TRUE
866966218,52,Male,0,0.01,0.35,TRUE
868078418,18,Female,0.92,0.9,0.22,TRUE
873490188,21,female,0.08,-0.01,0.07,TRUE
875514166,25,Female,0.08,0.06,0.01,TRUE
876439532,40,Female ,0.72,0.33,0,TRUE
876643089,19,male,0.17,0,0.12,TRUE
878840082,21,Female,0.72,0.44,0.31,TRUE
880282999,28,Male,0.42,0.14,0,TRUE
886138292,46,female,-0.03,-0.05,0.04,TRUE
888086546,25,Female,0.03,0.03,0.08,TRUE
889722044,31,female,0,0.31,0,TRUE
891674350,29,Male,0.67,0.27,0.24,TRUE
893557307,19,male,0.86,0,0,TRUE
893845463,19,Male,-0.64,0.34,0.07,TRUE
896139749,59,female,0.03,0.25,0.11,TRUE
899381030,32,Male,0.06,-0.25,0,TRUE
905519443,19,female,0.28,0.5,0.94,TRUE
907552439,45,male,0,0,0,TRUE
907624617,24,Female,0.5,0,0.24,TRUE
908238754,22,Male,-0.14,-0.08,0,TRUE
911257296,25,Male,0.81,-0.08,0.12,TRUE
917271266,32,male,0,0.11,0,TRUE
919163805,19,Female,0.67,0.17,0,TRUE
922628467,21,male ,0.83,0.8,0.06,TRUE
929884764,30,male,-0.06,0.31,0,TRUE
930760207,18,Female,-0.72,-0.38,0.15,TRUE
930783245,35,female,0.06,0.22,0,TRUE
932392154,22,male,-0.14,0.17,0,TRUE
933854106,18,Female,0,0,0.01,TRUE
939244356,37,male,0.33,-0.03,0.25,TRUE
939425334,25,Male,0.33,0.15,0.33,TRUE
944206411,40,Female,0.33,-0.08,0.32,TRUE
947105374,32,MAle,-0.06,0.06,0,TRUE
948244818,22,MALE,0.06,0.03,0.24,TRUE
949896208,21,male,0.36,0.06,0.24,TRUE
951208388,24,Male,-0.64,0.04,0.36,TRUE
951809277,20,female,0.03,-0.23,0.01,TRUE
955159015,38,Male,0,-0.1,0.04,TRUE
956911575,20,Male,0.14,0.03,0.24,TRUE
959767587,24,Female ,0.11,-0.08,0.01,TRUE
961250535,28,Male,-0.06,-0.03,0.14,TRUE
961927421,55,male,0.14,-0.03,0,TRUE
962668460,23,Female,0.19,0.22,0.15,TRUE
964852861,33,Male,0.61,-0.5,0.96,TRUE
967260119,20 ,Female,0.19,0.14,0.03,TRUE
970035745,20,Male,0.25,0.18,0.15,TRUE
972509894,32,Male,-0.06,0.03,0,TRUE
974871848,30,f,-0.03,0,0,TRUE
978335963,41,male,0.83,NA,1,FALSE
989264176,24,male,-0.06,-0.05,0.11,TRUE
997711577,21,male,0.08,0.01,0.11,TRUE
569581337,NA,NA,0.69,0.46,0.32,FALSE
