subject,age,gender,AMP_effect_positive_negative,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
268732042,25,female,0.03,0.03,0.01,0.02,all,none,none,"Yes, use my data",,a few,TRUE
268889768,29,woman,0.03,0.13,0.13,0,none,none,none,"No, exclude my data (please specify why):",No paintings populaed the screen at any time.  Only photos followed by a scarambled image of black and white.  Your program may need fixed.,none,TRUE
270259321,31,Male,0.13,0.07,0.04,0.13,all,less than half,a few,"Yes, use my data",,about half,TRUE
272574749,31,Female,0.53,0,0.2,0.17,all,less than half,none,"Yes, use my data",,a few,TRUE
273783824,37,female,0.03,0.37,0.01,0.65,all,more than half,a few,"Yes, use my data",,more than half,TRUE
276330115,50,Male,0.73,0.83,0.82,0.05,most,a few,none,"Yes, use my data",,a few,TRUE
276646504,30,male,0.6,0.73,0.88,0.58,all,more than half,none,"Yes, use my data",,less than half,TRUE
284084985,27,female,0.73,0.17,0.09,0.07,all,a few,more than half,"Yes, use my data",,about half,TRUE
293852761,47,male,0,0,0,0,all,none,none,"No, exclude my data (please specify why):",The speed of the survey gave me little time to see/acknwoledge the painting. I would have liked to have examined the painting and given myself time to formulate an opinion in cosideration.,none,TRUE
299435067,61,Male,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
302720478,25,male,0.13,0.3,0.17,0.52,most,less than half,less than half,"Yes, use my data",,a few,TRUE
303100394,28,female,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
304929990,29,Female,0.17,0.33,0.02,0.32,most,less than half,none,"Yes, use my data",,a few,TRUE
306727422,48,Female,0.6,0.83,0.5,0.95,all,all,none,"No, exclude my data (please specify why):","I did not ever see a painting clearly enough to make any type of judgement about it.  I saw photo images because I recognized there were human subjects or the fact it was a photo was obvious.   I did not get to see any of the paintings long enough for me to even register mentally that I had seen a painting, let alone seen it well enough to form an opinion.  The program just went too fast for me, period.",all,TRUE
312029553,46,Male,0.27,0.6,0.38,0.67,all,most,less than half,"Yes, use my data",,more than half,TRUE
321184028,41,female,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
324574186,21,Male,0.1,0.33,0.35,0.62,all,about half,less than half,"Yes, use my data",,more than half,TRUE
325816439,21,female,0.5,0.37,0.36,0.27,NA,NA,NA,NA,NA,NA,FALSE
327781808,31,Female,0.6,0.27,0.17,0.5,all,more than half,a few,"Yes, use my data",,a few,TRUE
328096299,51,f,0.93,0.87,NA,1,all,all,none,"Yes, use my data",,all,TRUE
328544281,21,male,0.8,0.9,NA,0.98,all,all,all,"Yes, use my data",,all,TRUE
331844090,27,Male,0.03,0.2,0.2,0,all,none,all,"Yes, use my data",,about half,TRUE
334808505,51,female,0.4,NA,NA,NA,about half,less than half,about half,"Yes, use my data",,more than half,FALSE
335342488,49,Female,0,0.03,0,0.03,all,a few,a few,"Yes, use my data",,a few,TRUE
336164387,45,male,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
336456457,30,female,0.07,0.13,0.12,0.07,all,a few,a few,"Yes, use my data",,a few,TRUE
341393671,46,female,NA,NA,NA,NA,about half,about half,NA,NA,NA,NA,FALSE
343371048,26,Male,0.47,0.17,0.33,0.87,about half,about half,none,"Yes, use my data",,a few,TRUE
347375007,35,Male,0.23,0,0,0,all,none,none,"Yes, use my data",,a few,TRUE
350698819,18,female,0.07,0.07,0.02,0.35,about half,less than half,less than half,"Yes, use my data",,more than half,TRUE
351047144,24,Male,0.17,0.43,0.34,0.22,all,about half,less than half,"Yes, use my data",,about half,TRUE
352333029,37,male,0.03,0.07,0.07,0,all,none,none,"Yes, use my data",,a few,TRUE
354072186,39,female,0.83,0.8,0.5,0.73,all,more than half,about half,"Yes, use my data",,about half,TRUE
355994924,27,female,0.7,0.77,0.86,0.25,all,about half,less than half,"Yes, use my data",,most,TRUE
360891929,38,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
362590961,27,Female,0.73,0.6,0.51,0.1,all,less than half,none,"Yes, use my data",,a few,TRUE
363039574,19,Female,0.2,0.1,0.4,0.28,all,less than half,none,"Yes, use my data",,more than half,TRUE
365200288,20,male,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
365327585,24,Male,0.23,0.1,0.02,0.08,all,less than half,a few,"Yes, use my data",,less than half,TRUE
365764444,29,female,0,0,0,0,all,none,none,"No, exclude my data (please specify why):","I didnt see any paintings, just the same pixelated image after each photograph so Im not sure if mine worked properly. It may effect your results and give an incorrect outcome",none,TRUE
371804331,20,female,0.1,0.3,0.6,0.83,a few,a few,a few,"No, exclude my data (please specify why):",,a few,TRUE
372079030,38,Female,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
375637928,21,Male,0.13,0.03,0.06,0.12,all,a few,none,"Yes, use my data",,less than half,TRUE
379969016,46,female,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
383313835,26,Female,0.63,0.6,0.5,0.8,all,all,most,"No, exclude my data (please specify why):","The paintings were going way to quickly, my eyes were only really able to see the picture before the painting. I did not get as good of a look at the paintings compared to the pictures before so could only really judge on the pictures ",none,TRUE
383794676,19,male,0.2,0.53,0.12,0.67,all,more than half,more than half,"Yes, use my data",,most,TRUE
386743179,24,Male,0.07,0.1,0.09,0.02,all,a few,none,"Yes, use my data",,most,TRUE
389457417,39,male,0.07,0.2,0.04,0.37,all,less than half,a few,"Yes, use my data",,none,TRUE
391771971,22,female,0.63,0.17,0.17,0.05,most,a few,a few,"Yes, use my data",,less than half,TRUE
392074517,33,female,0,0.07,0.04,0.07,all,a few,a few,"Yes, use my data",,a few,TRUE
394191388,59,Female,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
402720245,30,Female,0,0,0.1,0.22,all,about half,none,"Yes, use my data",,about half,TRUE
405682077,23,Male,0,0.07,0.06,0.02,all,a few,none,"Yes, use my data",,a few,TRUE
405820804,45,female,0.53,0.43,0.4,0.03,all,most,more than half,"Yes, use my data",,most,TRUE
409579681,44,Female,0.63,0.8,NA,0.98,less than half,more than half,none,"Yes, use my data",,a few,TRUE
410769485,20,Female,0.1,0,0.16,0.17,all,less than half,none,"Yes, use my data",,less than half,TRUE
412274892,37,female,0.67,0.67,0.67,0.87,more than half,about half,about half,"Yes, use my data",,about half,TRUE
413385331,25,Female,0.77,NA,NA,NA,more than half,more than half,about half,"Yes, use my data",,a few,FALSE
413698088,19,male,0,0.03,NA,0.95,all,none,none,"No, exclude my data (please specify why):","While I have completed fast paced research before with relative ease, the paintings were not up for long enough for to register at all. I think the static placeholder image distracts the mind too much. that could just be me though",none,TRUE
414168999,27,female,0.53,0.8,NA,1,all,most,most,"Yes, use my data",,about half,TRUE
419194294,35,male,0,0.13,0.13,0.87,most,all,all,"Yes, use my data",,none,TRUE
421808539,29,female,0.8,0.97,1,0.15,less than half,less than half,less than half,"Yes, use my data",,a few,TRUE
428694346,21,male,0.03,0.03,0.03,0.05,all,none,a few,"No, exclude my data (please specify why):","I was never shown any paintings, I imagine this is part of the study. Instead I was shown the same pixelated image. I initially thought there was a glitch and tried to use D, K and spacebat throughout in an attempt to 'fix' the problem by selecting different answers.",none,TRUE
431389013,19,Male,0.57,0.63,0.67,0.92,more than half,more than half,a few,"Yes, use my data",,about half,TRUE
438458371,54,male,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
444841700,36,female,0.03,0.1,0.1,0,all,none,none,"Yes, use my data",,none,TRUE
445559065,42,FEMALE,0,0.27,0.07,0.25,all,more than half,none,"Yes, use my data",,about half,TRUE
445981678,29,female,0.2,0.4,0.25,0.8,most,all,most,"Yes, use my data",,a few,TRUE
449282783,49,female,0.63,0.8,NA,0.97,all,all,most,"Yes, use my data",,all,TRUE
451795364,41,female,0.33,0.13,0.08,0.15,all,about half,a few,"Yes, use my data",,a few,TRUE
456211157,30,Male,0.13,0.37,0.24,0.18,all,about half,a few,"Yes, use my data",,less than half,TRUE
465192354,46,female,0.1,0.27,0.06,0.32,all,more than half,none,"Yes, use my data",,more than half,TRUE
465246862,47,male,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
470587717,28,FEMALE,0.1,0.03,0.03,0,all,none,none,"Yes, use my data",,none,TRUE
472200928,39,female,0.03,0.7,0,0.82,all,most,most,"Yes, use my data",,a few,TRUE
473097294,30,Male,0.23,0.27,0.08,0.25,about half,less than half,less than half,"Yes, use my data",,about half,TRUE
474005291,34,female,0.07,0.13,0.19,0.08,all,a few,none,"Yes, use my data",,less than half,TRUE
478250718,19,Male,0.7,0.43,0.15,0.38,most,about half,about half,"Yes, use my data",,a few,TRUE
479317863,64,male,0.23,0,0,0.02,all,a few,none,"Yes, use my data",,a few,TRUE
480638985,30,female,0.27,0.63,0.54,0.33,all,more than half,about half,"Yes, use my data",,less than half,TRUE
482502282,28,female,0.57,0.57,0.51,0.67,most,more than half,most,"Yes, use my data",,most,TRUE
484534075,29,Male,0.17,0.23,0.13,0.35,most,less than half,none,"Yes, use my data",,a few,TRUE
486257201,31,male,0.1,0.03,0.06,0.07,all,a few,a few,"Yes, use my data",,a few,TRUE
489767949,31,Male,0,0.07,0.12,0.23,all,less than half,none,"Yes, use my data",,a few,TRUE
491919221,31,male,0.7,0.6,0.6,0,all,none,none,"Yes, use my data",,less than half,TRUE
497780199,35,male,0.03,0.1,0.08,0.07,less than half,more than half,a few,"Yes, use my data",,more than half,TRUE
498867305,60,Female,0.23,0.47,0.5,0.95,about half,about half,about half,"Yes, use my data",,about half,TRUE
503333808,23,Male,0.87,0.9,0.93,0.07,a few,a few,none,"Yes, use my data",,a few,TRUE
503351129,40,female,0.63,0.2,0.02,0.25,all,a few,a few,"Yes, use my data",,a few,TRUE
504257496,34,Male,0.17,0.27,0.01,0.62,most,about half,a few,"Yes, use my data",,about half,TRUE
505162654,27,FEMALE,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
506054133,47,Male,0.03,0.13,0.13,0,all,a few,none,"Yes, use my data",,a few,TRUE
510795046,22,male,0,0.1,0.03,0.07,all,a few,none,"No, exclude my data (please specify why):","I would say use the second half, however for the first half I was almost getting a basis on what to compare the paintings too, as I thought none of them were appealing but in the second half I based it on whether they were appealing relative to each other.",a few,TRUE
512550463,21,male ,0.1,0.1,0.09,0.02,all,a few,none,"Yes, use my data",,a few,TRUE
512611727,19,Male,0.7,0.23,0.23,0.47,less than half,less than half,none,"Yes, use my data",,less than half,TRUE
517293315,33,male,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
527301308,28,male,0.83,0.9,NA,0.98,all,most,all,"Yes, use my data",,more than half,TRUE
527618037,47,Male,0.1,0.2,0.21,0.1,all,a few,none,"Yes, use my data",,most,TRUE
527767466,35,Female,0,0,0,0,most,none,none,"Yes, use my data",,none,TRUE
529534103,22,female,0.03,0,0,0,all,none,none,"Yes, use my data",,a few,TRUE
530705107,26,Female,0.07,0.13,0.1,0.2,all,a few,a few,"Yes, use my data",,less than half,TRUE
531437207,19,female,0.8,0.73,1,0.95,more than half,more than half,most,"Yes, use my data",,most,TRUE
539439858,32,Male,0.33,0.2,0,0.18,all,less than half,a few,"Yes, use my data",,less than half,TRUE
540633250,21,Female,0,0.5,0.08,0.52,all,a few,none,"Yes, use my data",,less than half,TRUE
542372835,46,Female,0.43,0.57,0.6,0.27,more than half,about half,less than half,"Yes, use my data",,about half,TRUE
542530557,21,female,0.07,0.2,0.17,0.03,most,a few,none,"Yes, use my data",,a few,TRUE
544587117,36,female,0.07,0.07,0.04,0.08,all,a few,none,"Yes, use my data",,a few,TRUE
550698544,49,female,0.6,0.9,0.75,0.87,most,more than half,a few,"Yes, use my data",,most,TRUE
551032787,24,male,0.7,0.7,0.55,0.78,most,about half,about half,"Yes, use my data",,more than half,TRUE
554294865,35,male,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
558953516,21,female,0.63,0.9,0.25,0.9,all,most,less than half,"Yes, use my data",,most,TRUE
559200334,64,female,0,0,0,0,all,none,none,"No, exclude my data (please specify why):","I did not get images after the paintings... in each trial, all I could see after each picture, was a different black and white pixellated pattern.  I did follow all instructions very carefully indeed.",none,TRUE
559558041,20,Male,0.47,0.6,0.56,0.1,all,about half,more than half,"Yes, use my data",,a few,TRUE
562497132,24,Male,0.1,0.03,0.38,0.25,all,a few,none,"Yes, use my data",,a few,TRUE
562700758,41,Male,0.87,0.13,0.04,0.1,all,more than half,more than half,"Yes, use my data",,more than half,TRUE
565402374,41,female,0.17,0.27,0.15,0.32,all,less than half,none,"Yes, use my data",,a few,TRUE
565618261,26,Male,0.83,0.8,0.59,0.75,all,most,less than half,"Yes, use my data",,most,TRUE
570870348,26,female,0.13,0.1,0,0.15,all,less than half,a few,"Yes, use my data",,a few,TRUE
576529618,29,female,0.03,0,0,0,all,none,none,"Yes, use my data",,a few,TRUE
577757899,33,male,0.63,0.63,0.66,0.22,less than half,less than half,less than half,"Yes, use my data",,a few,TRUE
577758862,38,F,0.17,0.2,0.05,0.22,all,about half,none,"Yes, use my data",,a few,TRUE
580168797,44,Male,0.73,0.73,0.56,0.38,about half,less than half,more than half,"Yes, use my data",,about half,TRUE
580386458,25,Female,0.13,0.17,0.01,0.37,about half,about half,about half,"Yes, use my data",,about half,TRUE
580932903,27,Female,0.07,0.07,0.06,0.03,all,most,a few,"Yes, use my data",,a few,TRUE
582727002,50,f,0.57,0.37,0.17,0.92,all,all,all,"Yes, use my data",,all,TRUE
589257682,34,female,0,0.07,0.07,0,all,none,none,"Yes, use my data",,none,TRUE
590813284,52,Male,0.03,0.1,0.2,0.2,most,less than half,none,"Yes, use my data",,a few,TRUE
591922197,37,female,0.67,0.77,0.77,0,none,none,none,"Yes, use my data",,none,TRUE
593263598,26,Female,0.17,0.13,0.28,0.15,all,about half,none,"Yes, use my data",,about half,TRUE
594636730,31,female,0.07,0.03,0.07,0.12,all,a few,a few,"Yes, use my data",,a few,TRUE
602548494,46,male,0,0,0,0,all,none,none,"Yes, use my data",,none,TRUE
